fips,county,c2010,hhpop2010,gq2010,hh2010,hhsize2010,N2015,hhpop2015,gq2015,hh2015,hhsize2015,N2020,hhpop2020,gq2020,hh2020,hhsize2020,N2025,hhpop2025,gq2025,hh2025,hhsize2025,N2030,hhpop2030,gq2030,hh2030,hhsize2030,N2035,hhpop2035,gq2035,hh2035,hhsize2035,N2040,hhpop2040,gq2040,hh2040,hhsize2040
21215,Spencer,17061,16948,113,6165,2.749067315,17894,17781,113,6715,2.647952,19451,19337,114,7539,2.564929,21069,20954,115,8349,2.509762,22780,22664,116,9164,2.473156,24479,24362,117,9911,2.458077,26065,25947,118,10570,2.454778
21217,Taylor,24512,23477,1035,9832,2.387815297,25420,24225,1195,10177,2.380368,25945,24730,1215,10388,2.380631,26446,25211,1235,10641,2.369232,26890,25635,1255,10852,2.362237,27298,26022,1276,11057,2.353441,27718,26420,1298,11260,2.346359
21219,Todd,12460,12265,195,4647,2.639337207,12531,12336,195,4766,2.588334,12641,12445,196,4817,2.583558,12755,12558,197,4919,2.552958,12854,12656,198,5000,2.5312,12960,12761,199,5062,2.52094,13092,12892,200,5117,2.519445
21221,Trigg,14339,14261,78,5883,2.424103349,14233,14155,78,5958,2.375797,14395,14317,78,6124,2.337851,14482,14404,78,6226,2.313524,14544,14466,78,6314,2.291099,14558,14480,78,6351,2.279956,14515,14437,78,6354,2.272112
21223,Trimble,8809,8768,41,3420,2.56374269,8769,8728,41,3513,2.484486,8673,8632,41,3570,2.417927,8554,8513,41,3606,2.360788,8363,8322,41,3581,2.323932,8104,8063,41,3531,2.283489,7794,7753,41,3447,2.249202
21225,Union,15007,13636,1371,5549,2.457379708,15050,13391,1659,5661,2.365483,14906,13215,1691,5749,2.298661,14654,12931,1723,5726,2.258296,14290,12535,1755,5671,2.210369,13811,12024,1787,5539,2.170789,13278,11457,1821,5370,2.13352
21227,Warren,113792,107582,6210,43674,2.46329624,122851,116538,6313,47491,2.453897,133207,126766,6441,52217,2.427677,144676,138104,6572,57294,2.410444,157013,150307,6706,62798,2.3935,170139,163298,6841,68521,2.383182,183705,176727,6978,74616,2.368487
21229,Washington,11717,11328,389,4507,2.513423563,12063,11639,424,4646,2.505166,12354,11924,430,4844,2.461602,12656,12220,436,5014,2.437176,12904,12462,442,5158,2.416053,13079,12631,448,5264,2.399506,13198,12744,454,5354,2.380276
21231,Wayne,20813,20482,331,8646,2.368956743,20464,20133,331,8748,2.30144,20200,19864,336,8850,2.24452,19790,19449,341,8878,2.190696,19246,18900,346,8773,2.154337,18578,18227,351,8621,2.114256,17800,17444,356,8367,2.084857
21233,Webster,13621,13228,393,5272,2.509104704,13170,12777,393,5207,2.453812,12600,12201,399,5048,2.416997,11958,11553,405,4880,2.367418,11288,10877,411,4688,2.320179,10600,10183,417,4484,2.270963,9910,9487,423,4237,2.239084
21235,Whitley,35637,34047,1590,13575,2.508066298,36129,34396,1733,13519,2.544271,35987,34223,1764,13392,2.555481,35677,33882,1795,13210,2.564875,35116,33287,1829,13013,2.557981,34372,32509,1863,12759,2.547927,33671,31774,1897,12582,2.525354
21237,Wolfe,7355,7223,132,3065,2.356606852,7259,7127,132,3074,2.318478,7282,7150,132,3154,2.266963,7208,7076,132,3184,2.222362,7074,6942,132,3163,2.194752,6902,6770,132,3122,2.168482,6696,6564,132,3066,2.1409
21239,Woodford,24939,24610,329,9806,2.509687946,25793,25456,337,10362,2.456669,26593,26251,342,10933,2.401079,27421,27074,347,11404,2.374079,28229,27877,352,11816,2.359259,28941,28584,357,12141,2.354337,29487,29125,362,12398,2.349169
