fips,county,c2010,hhpop2010,gq2010,hh2010,hhsize2010,N2015,hhpop2015,gq2015,hh2015,hhsize2015,N2020,hhpop2020,gq2020,hh2020,hhsize2020,N2025,hhpop2025,gq2025,hh2025,hhsize2025,N2030,hhpop2030,gq2030,hh2030,hhsize2030,N2035,hhpop2035,gq2035,hh2035,hhsize2035,N2040,hhpop2040,gq2040,hh2040,hhsize2040
21043,Carter,27720,27094,626,10760,2.51802974,27158,26513,645,10743,2.467933,26852,26195,657,10685,2.451568,26417,25748,669,10577,2.434339,25833,25152,681,10400,2.418462,25124,24431,693,10198,2.395666,24386,23681,705,9960,2.37761
21045,Casey,15955,15475,480,6351,2.436624154,15808,15328,480,6459,2.373123,15521,15036,485,6456,2.328996,15167,14676,491,6402,2.292409,14729,14232,497,6296,2.260483,14237,13734,503,6146,2.234624,13725,13216,509,5981,2.209664
21047,Christian,73955,68566,5389,26144,2.622628519,73309,67917,5392,25974,2.614807,74027,68523,5504,26666,2.569677,73999,68382,5617,26899,2.542176,73725,67993,5732,27117,2.507394,73599,67750,5849,27336,2.478417,73527,67560,5967,27565,2.450934
21049,Clark,35613,35155,458,14267,2.464077942,35757,35299,458,14539,2.427884,36206,35742,464,14990,2.38439,36508,36038,470,15347,2.348211,36647,36171,476,15606,2.317762,36614,36132,482,15755,2.293367,36466,35978,488,15817,2.274641
21051,Clay,21730,19490,2240,7732,2.520693223,21013,18980,2033,7735,2.453782,20177,18106,2071,7489,2.417679,19168,17059,2109,7152,2.385207,18038,15889,2149,6786,2.341438,16862,14673,2189,6383,2.298762,15755,13526,2229,5976,2.263387
21053,Clinton,10272,10136,136,4358,2.32583754,10174,10038,136,4375,2.2944,10220,10083,137,4423,2.279675,10235,10097,138,4466,2.26086,10216,10077,139,4485,2.246823,10148,10008,140,4488,2.229947,10081,9940,141,4483,2.217265
21055,Crittenden,9315,9105,210,3781,2.408093097,9183,8973,210,3759,2.387071,9103,8890,213,3720,2.389785,8976,8760,216,3690,2.373984,8828,8609,219,3651,2.357984,8688,8466,222,3628,2.333517,8545,8320,225,3585,2.320781
21057,Cumberland,6856,6770,86,2883,2.348248352,6759,6673,86,2884,2.3138,6585,6498,87,2846,2.283205,6358,6270,88,2775,2.259459,6111,6022,89,2693,2.236168,5833,5743,90,2596,2.21225,5550,5459,91,2479,2.202098
21059,Daviess,96656,94075,2581,38619,2.43597711,99259,96650,2609,40047,2.413414,102033,99372,2661,41523,2.39318,104517,101803,2714,42871,2.374635,106676,103907,2769,44106,2.355847,108502,105676,2826,45242,2.335794,110129,107245,2884,46176,2.322527
21061,Edmonson,12161,11838,323,4857,2.43730698,12007,11657,350,5015,2.324427,11812,11457,355,5109,2.242513,11565,11205,360,5131,2.183785,11237,10871,366,5092,2.134917,10831,10459,372,4998,2.092637,10391,10012,379,4878,2.05248
21063,Elliott,7852,6791,1061,2773,2.448972232,7648,6607,1041,2836,2.32969,7633,6574,1059,2975,2.209748,7542,6465,1077,3072,2.104492,7382,6287,1095,3100,2.028064,7176,6062,1114,3095,1.958643,6917,5784,1133,3020,1.915232
21065,Estill,14672,14554,118,5984,2.432152406,14375,14257,118,5979,2.384512,14059,13941,118,5987,2.328545,13654,13536,118,5929,2.283016,13188,13070,118,5836,2.239548,12655,12537,118,5682,2.206441,12076,11958,118,5499,2.174577
21067,Fayette,295803,282999,12804,123043,2.300000813,314488,301520,12968,131750,2.288577,333580,320356,13224,141235,2.268248,354318,340832,13486,150978,2.257494,375637,361882,13755,161356,2.242755,397513,383485,14028,171789,2.232302,419813,405506,14307,182417,2.222962
21069,Fleming,14348,14326,22,5729,2.500610927,14637,14615,22,5848,2.499145,14790,14768,22,5981,2.469152,14887,14865,22,6072,2.448123,14876,14854,22,6120,2.427124,14763,14741,22,6127,2.405908,14602,14580,22,6119,2.382742
21071,Floyd,39451,38661,790,16060,2.407285181,37756,37085,671,15704,2.3615,36156,35472,684,15209,2.332303,34308,33611,697,14588,2.304017,32302,31592,710,13905,2.271988,30240,29517,723,13144,2.245663,28262,27526,736,12380,2.223425
21073,Franklin,49285,47224,2061,20662,2.28554835,50375,48458,1917,21540,2.249675,50836,48881,1955,22009,2.220955,51123,49129,1994,22346,2.198559,51201,49168,2033,22560,2.179433,51028,48955,2073,22615,2.164714,50704,48591,2113,22566,2.153284
21075,Fulton,6813,6368,445,2864,2.223463687,6238,5793,445,2581,2.244479,5726,5274,452,2363,2.231909,5252,4793,459,2173,2.205706,4789,4323,466,1969,2.195531,4349,3876,473,1779,2.178752,3939,3459,480,1595,2.168652
21077,Gallatin,8589,8504,85,3160,2.691139241,8636,8551,85,3274,2.61179,8857,8771,86,3420,2.56462,9006,8919,87,3524,2.530931,9100,9012,88,3597,2.505421,9137,9048,89,3639,2.486397,9111,9021,90,3651,2.47083
21079,Garrard,16912,16803,109,6668,2.519946011,17237,17128,109,6941,2.467656,17476,17366,110,7254,2.39399,17571,17460,111,7484,2.332977,17543,17431,112,7654,2.277371,17419,17306,113,7746,2.234185,17170,17056,114,7742,2.203048
21081,Grant,24662,24205,457,8614,2.809960529,24757,24300,457,8902,2.729724,24793,24329,464,9084,2.678226,24758,24287,471,9246,2.626758,24595,24117,478,9281,2.598535,24377,23892,485,9293,2.570967,24017,23525,492,9196,2.558177
21083,Graves,37121,36573,548,14978,2.441781279,37421,36958,463,15236,2.425702,37883,37414,469,15448,2.421932,38243,37768,475,15661,2.411596,38483,38002,481,15816,2.402757,38657,38170,487,15960,2.391604,38788,38295,493,16076,2.382123
21085,Grayson,25746,24978,768,10082,2.477484626,26221,25453,768,10324,2.46542,26433,25653,780,10478,2.448272,26489,25697,792,10543,2.437352,26440,25635,805,10607,2.4168,26275,25457,818,10594,2.402964,26128,25297,831,10587,2.38944
21087,Green,11258,11145,113,4601,2.4222995,11010,10897,113,4633,2.35204,10716,10602,114,4608,2.300781,10367,10252,115,4547,2.254673,9971,9855,116,4450,2.214607,9542,9425,117,4323,2.180199,9093,8975,118,4170,2.152278
21089,Greenup,36910,36456,454,14671,2.484902188,36068,35614,454,14590,2.440987,35475,35017,458,14654,2.389586,34686,34224,462,14571,2.348775,33706,33240,466,14399,2.308494,32570,32100,470,14098,2.276919,31407,30933,474,13759,2.248201
21091,Hancock,8565,8475,90,3285,2.579908676,8692,8602,90,3388,2.538961,8786,8696,90,3475,2.502446,8842,8752,90,3514,2.490609,8839,8749,90,3544,2.468679,8752,8662,90,3527,2.455912,8629,8539,90,3525,2.422411
21093,Hardin,105543,102287,3256,39853,2.566607282,106439,103179,3260,41412,2.491524,112494,109171,3323,44237,2.467866,118413,115026,3387,46981,2.448351,124137,120686,3451,49535,2.436378,129638,126122,3516,52106,2.420489,134901,131319,3582,54521,2.408595
21095,Harlan,29278,28651,627,11789,2.430316397,27703,27076,627,11305,2.395046,26368,25731,637,10785,2.385814,24936,24289,647,10235,2.373132,23381,22724,657,9650,2.354819,21799,21132,667,9025,2.341496,20324,19647,677,8423,2.332542
21097,Harrison,18846,18571,275,7343,2.52907531,18763,18488,275,7428,2.488961,18751,18474,277,7588,2.434634,18674,18395,279,7678,2.395806,18464,18183,281,7734,2.351047,18114,17831,283,7698,2.316316,17694,17409,285,7640,2.278665
21099,Hart,18199,17972,227,7097,2.532337607,18454,18227,227,7355,2.478178,18683,18455,228,7532,2.450212,18836,18607,229,7664,2.427845,18935,18705,230,7756,2.411681,18955,18724,231,7797,2.401437,18889,18657,232,7785,2.396532
21101,Henderson,46250,45085,1165,18705,2.410318097,46407,45242,1165,18979,2.383793,46358,45172,1186,19141,2.35996,46057,44850,1207,19261,2.32854,45516,44288,1228,19211,2.305346,44844,43595,1249,19129,2.279001,43987,42717,1270,18867,2.264112
21103,Henry,15416,15336,80,5963,2.571859802,15620,15540,80,6153,2.525597,15617,15536,81,6285,2.471917,15514,15432,82,6341,2.433686,15360,15277,83,6375,2.396392,15081,14997,84,6315,2.374822,14743,14658,85,6238,2.349792
21105,Hickman,4902,4690,212,2028,2.312623274,4612,4400,212,1971,2.232369,4349,4136,213,1887,2.191839,4077,3863,214,1800,2.146111,3803,3588,215,1703,2.10687,3563,3347,216,1603,2.08796,3306,3089,217,1494,2.067604
21107,Hopkins,46920,45834,1086,18980,2.414857745,46222,45136,1086,18960,2.380591,45565,44461,1104,18902,2.352185,44661,43539,1122,18717,2.326174,43549,42408,1141,18439,2.299908,42293,41133,1160,18100,2.272542,40890,39711,1179,17598,2.256563
21109,Jackson,13494,13384,110,5486,2.439664601,13352,13242,110,5582,2.372268,13119,13009,110,5663,2.297192,12742,12632,110,5648,2.236544,12271,12161,110,5597,2.172771,11695,11585,110,5464,2.120242,11091,10981,110,5296,2.073452
21111,Jefferson,741096,726943,14153,309175,2.351234738,763623,748427,15196,323630,2.312601,790010,774511,15499,336587,2.301072,815058,799248,15810,349103,2.289433,837477,821350,16127,360287,2.27971,857013,840563,16450,370882,2.266389,875459,858679,16780,380593,2.256161
21113,Jessamine,48586,46807,1779,17642,2.653157238,51961,50195,1766,19397,2.587771,56126,54329,1797,21424,2.535894,60271,58442,1829,23421,2.495282,64398,62537,1861,25445,2.457732,68573,66678,1895,27503,2.42439,72917,70987,1930,29603,2.397966
21115,Johnson,23356,22828,528,9362,2.43836787,23175,22647,528,9452,2.396001,23058,22521,537,9416,2.39178,22813,22267,546,9350,2.381497,22416,21861,555,9212,2.3731,21935,21371,564,9025,2.367978,21451,20878,573,8835,2.363101
21117,Kenton,159720,157388,2332,62768,2.507456029,165012,162508,2504,66157,2.456399,169386,166830,2556,68753,2.426512,173041,170433,2608,71101,2.397055,176039,173379,2660,73182,2.369148,178392,175679,2713,74890,2.345827,180412,177646,2766,76244,2.329967
21119,Knott,16346,15669,677,6414,2.442937325,15693,14901,792,6230,2.391814,14841,14039,802,6011,2.335552,13957,13145,812,5717,2.299283,12997,12175,822,5388,2.259651,12015,11183,832,5015,2.22991,11060,10217,843,4626,2.208604
21121,Knox,31883,31241,642,12722,2.455667348,31730,31044,686,13000,2.388,31443,30746,697,13096,2.34774,30975,30267,708,13113,2.308167,30310,29591,719,13009,2.274656,29514,28784,730,12846,2.240697,28633,27892,741,12616,2.210843
21123,Larue,14193,13880,313,5615,2.471950134,14241,13928,313,5788,2.406358,14311,13994,317,5887,2.377102,14348,14027,321,5981,2.34526,14309,13984,325,6038,2.315999,14197,13868,329,6064,2.286939,14040,13707,333,6063,2.260762
21125,Laurel,58849,58150,699,23014,2.526722864,60094,59395,699,24158,2.458606,61519,60809,710,25223,2.410855,62592,61871,721,26080,2.372354,63429,62697,732,26838,2.336128,63882,63139,743,27342,2.309231,64045,63290,755,27705,2.284425
21127,Lawrence,15860,15752,108,6239,2.524763584,15745,15637,108,6291,2.485614,15668,15560,108,6380,2.438871,15378,15270,108,6344,2.406999,14979,14871,108,6287,2.365357,14515,14407,108,6168,2.335765,14038,13930,108,6022,2.313185
21129,Lee,7887,6871,1016,2910,2.361168385,6752,6573,179,2872,2.288649,6433,6252,181,2774,2.253785,6102,5919,183,2677,2.211057,5727,5542,185,2549,2.174186,5318,5131,187,2395,2.14238,4898,4709,189,2225,2.116405
21131,Leslie,11310,11083,227,4555,2.433150384,10711,10484,227,4407,2.378942,10144,9917,227,4197,2.362878,9505,9278,227,3962,2.341747,8831,8604,227,3705,2.322267,8158,7931,227,3449,2.299507,7537,7310,227,3196,2.287234
21133,Letcher,24519,24276,243,10014,2.424206111,23123,22880,243,9705,2.357548,22207,21964,243,9435,2.327928,21147,20904,243,9094,2.298658,19970,19727,243,8686,2.271126,18736,18493,243,8236,2.245386,17545,17302,243,7770,2.22677
