map,age,sex
NA_AN_Female30_34,30-34 years,Female
Asian_Female30_34,30-34 years,Female
Black_Female30_34,30-34 years,Female
White_Female30_34,30-34 years,Female
NA_AN_Male30_34,30-34 years,Male
Asian_Male30_34,30-34 years,Male
Black_Male30_34,30-34 years,Male
White_Male30_34,30-34 years,Male
Other_Male30_34,30-34 years,Male
Other_Female30_34,30-34 years,Female
Multiple_Male30_34,30-34 years,Male
Multiple_Female30_34,30-34 years,Female
Asian_Female30_34,30-34 years,Female
Asian_Male30_34,30-34 years,Male
NH_API_Male30_34,30-34 years,Male
NH_API_Female30_34,30-34 years,Female
Latinx_Male0_4,0-4 years,Male
Latinx_Male5_9,5-9 years,Male
Latinx_Male10_14,10-14 years,Male
Latinx_Male15_19,15-19 years,Male
Latinx_Male20_24,20-24 years,Male
Latinx_Male25_29,25-29 years,Male
Latinx_Male30_34,30-34 years,Male
Latinx_Male35_44,35-44 years,Male
Latinx_Male45_54,45-54 years,Male
Latinx_Male55_64,55-64 years,Male
Latinx_Male65_74,65-74 years,Male
Latinx_Male75_84,75-84 years,Male
Latinx_Male85_up,85+ years,Male
Latinx_Female0_4,0-4 years,Female
Latinx_Female5_9,5-9 years,Female
Latinx_Female10_14,10-14 years,Female
Latinx_Female15_19,15-19 years,Female
Latinx_Female20_24,20-24 years,Female
Latinx_Female25_29,25-29 years,Female
Latinx_Female30_34,30-34 years,Female
Latinx_Female35_44,35-44 years,Female
Latinx_Female45_54,45-54 years,Female
Latinx_Female55_64,55-64 years,Female
Latinx_Female65_74,65-74 years,Female
Latinx_Female75_84,75-84 years,Female
Latinx_Female85_up,85+ years,Female
