B01001G_014E,Multiple_Male65_74
B01001G_015E,Multiple_Male75_84
B01001G_016E,Multiple_Male85_up
B01001G_018E,Multiple_Female0_4
B01001G_019E,Multiple_Female5_9
B01001G_020E,Multiple_Female10_14
B01001G_021E,Multiple_Female15_17
B01001G_022E,Multiple_Female18_19
B01001G_023E,Multiple_Female20_24
B01001G_024E,Multiple_Female25_29
B01001G_025E,Multiple_Female30_34
B01001G_026E,Multiple_Female35_44
B01001G_027E,Multiple_Female45_54
B01001G_028E,Multiple_Female55_64
B01001G_029E,Multiple_Female65_74
B01001G_030E,Multiple_Female75_84
B01001G_031E,Multiple_Female85_up
B01001H_003E,White_Male0_4
B01001H_004E,White_Male5_9
B01001H_005E,White_Male10_14
B01001H_006E,White_Male15_17
B01001H_007E,White_Male18_19
B01001H_008E,White_Male20_24
B01001H_009E,White_Male25_29
B01001H_010E,White_Male30_34
B01001H_011E,White_Male35_44
B01001H_012E,White_Male45_54
B01001H_013E,White_Male55_64
B01001H_014E,White_Male65_74
B01001H_015E,White_Male75_84
B01001H_016E,White_Male85_up
B01001H_018E,White_Female0_4
B01001H_019E,White_Female5_9
B01001H_020E,White_Female10_14
B01001H_021E,White_Female15_17
B01001H_022E,White_Female18_19
B01001H_023E,White_Female20_24
B01001H_024E,White_Female25_29
B01001H_025E,White_Female30_34
B01001H_026E,White_Female35_44
B01001H_027E,White_Female45_54
B01001H_028E,White_Female55_64
B01001H_029E,White_Female65_74
B01001H_030E,White_Female75_84
B01001H_031E,White_Female85_up
B01001I_003E,Latinx_Male0_4
B01001I_004E,Latinx_Male5_9
B01001I_005E,Latinx_Male10_14
B01001I_006E,Latinx_Male15_17
B01001I_007E,Latinx_Male18_19
B01001I_008E,Latinx_Male20_24
B01001I_009E,Latinx_Male25_29
B01001I_010E,Latinx_Male30_34
B01001I_011E,Latinx_Male35_44
B01001I_012E,Latinx_Male45_54
B01001I_013E,Latinx_Male55_64
B01001I_014E,Latinx_Male65_74
B01001I_015E,Latinx_Male75_84
B01001I_016E,Latinx_Male85_up
B01001I_018E,Latinx_Female0_4
B01001I_019E,Latinx_Female5_9
B01001I_020E,Latinx_Female10_14
B01001I_021E,Latinx_Female15_17
B01001I_022E,Latinx_Female18_19
B01001I_023E,Latinx_Female20_24
B01001I_024E,Latinx_Female25_29
B01001I_025E,Latinx_Female30_34
B01001I_026E,Latinx_Female35_44
B01001I_027E,Latinx_Female45_54
B01001I_028E,Latinx_Female55_64
B01001I_029E,Latinx_Female65_74
B01001I_030E,Latinx_Female75_84
B01001I_031E,Latinx_Female85_up
