,GEO_ID,name,rentersless30,renters3050,renters5080,renters80100,renters100up,ownersless30,owners3050,owners5080,owners80100,owners100up,runitsless30,runits3050,runits5080,runits80up,ounitsless50,ounits5080,ounits80100,ounits100up,less30rentgap,3050rentgap,80uprentgap,less50owngap,5080owngap,80100owngap,100upowngap
1888,05000US36121,"Wyoming County, New York",754,904,903,362,863,615,1107,1782,1617,7087,860,2070,830,34,6725,3510,782,1044,-106,73,1191,-5003,-1728,835,6043
1889,05000US36123,"Yates County, New York",550,513,440,167,467,456,707,1233,1088,3982,375,935,685,140,3239,1859,540,1670,175,-245,494,-2076,-626,548,2312
1890,05000US37001,"Alamance County, North Carolina",4135,4444,4514,2339,6405,2487,3728,6182,5558,24568,2615,4575,10740,3895,11220,12884,6495,11079,1520,-6226,4849,-5005,-6702,-937,13489
1891,05000US37003,"Alexander County, North Carolina",574,763,708,550,780,584,1100,1579,1309,6150,585,1370,1225,184,3435,2595,1910,2630,-11,-517,1146,-1751,-1016,-601,3520
1892,05000US37005,"Alleghany County, North Carolina",245,403,227,92,217,314,342,615,670,1795,375,330,445,38,1165,795,475,1210,-130,-218,271,-509,-180,195,585
1893,05000US37007,"Anson County, North Carolina",855,575,685,255,1020,525,728,1250,1275,3145,865,945,1315,250,3664,1340,555,870,-10,-630,1025,-2411,-90,720,2275
1894,05000US37009,"Ashe County, North Carolina",869,436,653,253,892,780,914,1410,1260,4800,1150,785,905,270,2574,1955,1320,3310,-281,-252,875,-880,-545,-60,1490
1895,05000US37011,"Avery County, North Carolina",231,363,340,183,432,409,693,1057,1027,2415,324,325,665,239,1865,1008,677,1897,-93,-325,376,-763,49,350,518
1896,05000US37013,"Beaufort County, North Carolina",1324,1575,1008,429,1173,803,1344,2120,1820,8114,1225,1450,2235,625,5700,2430,1600,4344,99,-1227,977,-3553,-310,220,3770
1897,05000US37015,"Bertie County, North Carolina",599,392,614,141,355,785,798,1149,920,2525,635,750,605,110,3750,1185,463,614,-36,9,386,-2167,-36,457,1911
