Place,Total Housing Units,Occupied Units,Vacant Units,State ID,Place ID,Vacancy Rate
"Cassville city, Missouri",1329,1177,152,29,11890,11.43717080511663
"Emerald Beach village, Missouri",248,138,110,29,22250,44.354838709677416
"Wheaton city, Missouri",309,241,68,29,79126,22.006472491909385
"Norborne city, Missouri",428,358,70,29,52760,16.355140186915886
"Kimberling City city, Missouri",1469,1110,359,29,38612,24.438393464942138
"Lakeside city, Missouri",0,0,0,29,40142,
"Bakersfield village, Missouri",150,108,42,29,03052,28.000000000000004
"Gainesville city, Missouri",401,319,82,29,26218,20.448877805486283
"Vista village, Missouri",30,20,10,29,76390,33.33333333333333
"Bronaugh city, Missouri",81,59,22,29,08614,27.160493827160494
"Umber View Heights village, Missouri",36,27,9,29,74473,25.0
"Cole Camp city, Missouri",591,490,101,29,15436,17.089678510998308
"Qulin city, Missouri",274,208,66,29,60428,24.087591240875913
"Augusta town, Missouri",138,114,24,29,02512,17.391304347826086
"St. Paul city, Missouri",906,873,33,29,65108,3.642384105960265
"Warsaw city, Missouri",1283,1002,281,29,77146,21.901792673421667
"Monroe City city, Missouri",1256,1096,160,29,49394,12.738853503184714
"Perryville city, Missouri",3838,3479,359,29,57116,9.353830119854091
"Benton City village, Missouri",79,72,7,29,04834,8.860759493670885
"Rush Hill village, Missouri",78,58,20,29,63560,25.64102564102564
"Arkoe town, Missouri",24,19,5,29,01864,20.833333333333336
"Warson Woods city, Missouri",761,758,3,29,77182,0.39421813403416556
"Piedmont city, Missouri",1155,1041,114,29,57422,9.87012987012987
"Vienna city, Missouri",302,247,55,29,76102,18.211920529801322
"Clyde village, Missouri",32,28,4,29,15130,12.5
"Guilford town, Missouri",33,25,8,29,29692,24.242424242424242
"Pickering town, Missouri",72,55,17,29,57404,23.61111111111111
"Harris town, Missouri",28,14,14,29,30466,50.0
"Humphreys village, Missouri",102,40,62,29,33742,60.78431372549019
"Milan city, Missouri",1072,839,233,29,48062,21.73507462686567
"Newtown town, Missouri",79,46,33,29,52328,41.77215189873418
"Claycomo village, Missouri",768,704,64,29,14554,8.333333333333332
"Glenwood village, Missouri",99,71,28,29,27514,28.28282828282828
"Louisiana city, Missouri",1735,1370,365,29,44174,21.037463976945244
"Paynesville village, Missouri",32,23,9,29,56612,28.125
"Grant City town, Missouri",488,392,96,29,28594,19.672131147540984
"Bevier city, Missouri",362,289,73,29,05266,20.165745856353592
"Elmer city, Missouri",38,29,9,29,21988,23.684210526315788
"Holts Summit city, Missouri",1803,1653,150,29,32770,8.319467554076539
"Eolia village, Missouri",215,192,23,29,22474,10.69767441860465
"Tarrants village, Missouri",0,0,0,29,72376,
"Wyaconda city, Missouri",146,105,41,29,81142,28.08219178082192
"Sparta city, Missouri",752,649,103,29,69302,13.696808510638297
"Stella town, Missouri",63,56,7,29,70648,11.11111111111111
"Winona city, Missouri",648,544,104,29,80512,16.049382716049383
"Prairie Home city, Missouri",141,105,36,29,59726,25.53191489361702
"Penermon village, Missouri",43,36,7,29,56900,16.27906976744186
"Wellsville city, Missouri",534,421,113,29,78406,21.161048689138575
"Noel city, Missouri",996,797,199,29,52742,19.979919678714857
"Advance city, Missouri",700,592,108,29,00262,15.428571428571427
"Everton city, Missouri",186,127,59,29,22996,31.72043010752688
"Delta city, Missouri",196,157,39,29,19072,19.897959183673468
"Arrow Point village, Missouri",90,53,37,29,02034,41.11111111111111
"Franklin city, Missouri",39,34,5,29,25624,12.82051282051282
"East Prairie city, Missouri",1400,1302,98,29,21052,7.000000000000001
"Malden city, Missouri",1977,1717,260,29,45614,13.151239251390997
"Junction City village, Missouri",173,154,19,29,37736,10.982658959537572
"Marquand city, Missouri",151,134,17,29,46244,11.258278145695364
"Gordonville village, Missouri",226,212,14,29,27928,6.1946902654867255
"Oak Ridge town, Missouri",78,74,4,29,53786,5.128205128205128
"Indian Point village, Missouri",755,221,534,29,35186,70.72847682119206
"Annapolis city, Missouri",219,172,47,29,01270,21.461187214611872
"Blue Eye town, Missouri",248,124,124,29,06526,50.0
"Lamar city, Missouri",2037,1880,157,29,40376,7.7074128620520375
"Rives town, Missouri",35,20,15,29,62228,42.857142857142854
"Dutchtown village, Missouri",17,11,6,29,20566,35.294117647058826
"Altamont village, Missouri",98,63,35,29,00910,35.714285714285715
"Des Arc village, Missouri",98,81,17,29,19198,17.346938775510203
"Bunker city, Missouri",186,166,20,29,09694,10.75268817204301
"Barnard city, Missouri",95,82,13,29,03340,13.684210526315791
"Clearmont city, Missouri",90,73,17,29,14662,18.88888888888889
"Linn Creek city, Missouri",121,113,8,29,43274,6.6115702479338845
"Louisburg village, Missouri",80,35,45,29,44156,56.25
"Hallsville city, Missouri",664,617,47,29,29998,7.078313253012049
"Glenaire city, Missouri",217,217,0,29,27262,0.0
"Pleasant Valley city, Missouri",1199,1126,73,29,58520,6.0884070058381985
"Fair Grove city, Missouri",647,609,38,29,23338,5.873261205564142
"Kearney city, Missouri",3595,3305,290,29,38072,8.066759388038943
"Flint Hill city, Missouri",209,198,11,29,24688,5.263157894736842
"Lohman city, Missouri",86,66,20,29,43652,23.25581395348837
"Mount Moriah town, Missouri",49,28,21,29,50528,42.857142857142854
"Ridgeway city, Missouri",211,163,48,29,61904,22.748815165876778
"Weldon Spring Heights town, Missouri",38,38,0,29,78334,0.0
"Dixon city, Missouri",593,433,160,29,19630,26.981450252951095
"Shoal Creek Drive village, Missouri",190,169,21,29,67628,11.052631578947368
"Wentworth village, Missouri",70,41,29,29,78424,41.42857142857143
"Crocker city, Missouri",494,384,110,29,17344,22.267206477732792
"La Belle city, Missouri",363,282,81,29,39512,22.31404958677686
"Bunceton city, Missouri",184,135,49,29,09658,26.6304347826087
"Aullville village, Missouri",43,26,17,29,02530,39.53488372093023
"Corder city, Missouri",172,142,30,29,16408,17.441860465116278
"Tipton city, Missouri",1079,911,168,29,73420,15.569972196478222
"Laclede city, Missouri",217,182,35,29,39566,16.129032258064516
"Marceline city, Missouri",1048,843,205,29,45866,19.561068702290076
"Dennis Acres village, Missouri",24,20,4,29,19090,16.666666666666664
"Stark City town, Missouri",66,47,19,29,70414,28.78787878787879
"St. Robert city, Missouri",3313,2376,937,29,65144,28.282523392695442
"Canton city, Missouri",1039,936,103,29,11134,9.913378248315688
"Gravois Mills town, Missouri",88,48,40,29,28828,45.45454545454545
"Stover city, Missouri",564,505,59,29,71044,10.460992907801419
"Syracuse city, Missouri",63,59,4,29,72106,6.349206349206349
"Auxvasse city, Missouri",530,467,63,29,02638,11.88679245283019
"Pagedale city, Missouri",1617,1322,295,29,55964,18.24366110080396
"St. John city, Missouri",2939,2601,338,29,64478,11.500510377679483
"Emma city, Missouri",101,89,12,29,22312,11.881188118811881
"Lathrop city, Missouri",927,880,47,29,40826,5.070118662351672
"Spickard city, Missouri",131,103,28,29,69464,21.374045801526716
"Sunrise Beach village, Missouri",460,146,314,29,71728,68.26086956521739
"Sedgewickville village, Missouri",69,53,16,29,66476,23.18840579710145
"Marshfield city, Missouri",2889,2749,140,29,46388,4.8459674627898925
"Rogersville city, Missouri",1372,1259,113,29,62894,8.236151603498543
"Marble Hill city, Missouri",903,675,228,29,45848,25.249169435215947
"Hayti Heights city, Missouri",278,206,72,29,31168,25.899280575539567
"Foristell city, Missouri",233,227,6,29,25120,2.575107296137339
"Forsyth city, Missouri",1180,982,198,29,25192,16.779661016949152
"McFall city, Missouri",53,36,17,29,45020,32.075471698113205
"Diehlstadt village, Missouri",66,59,7,29,19486,10.606060606060606
"East Lynne city, Missouri",101,93,8,29,20980,7.920792079207921
"Arnold city, Missouri",8697,8318,379,29,01972,4.357824537196735
"Laredo city, Missouri",161,88,73,29,40736,45.3416149068323
"Brashear city, Missouri",119,75,44,29,08002,36.97478991596639
"Newark village, Missouri",56,40,16,29,51662,28.57142857142857
"Hamilton city, Missouri",859,751,108,29,30034,12.572759022118744
"Bosworth city, Missouri",204,74,130,29,07426,63.725490196078425
"Tina village, Missouri",97,92,5,29,73330,5.154639175257731
"Iron Mountain Lake city, Missouri",424,293,131,29,35450,30.89622641509434
"Caledonia village, Missouri",68,68,0,29,10432,0.0
"New Franklin city, Missouri",577,424,153,29,51824,26.51646447140381
"Butler city, Missouri",2022,1706,316,29,10054,15.62809099901088
"Poplar Bluff city, Missouri",8195,6737,1458,29,59096,17.791336180597924
"Cainsville city, Missouri",164,98,66,29,10342,40.243902439024396
"Pleasant Hope city, Missouri",300,269,31,29,58448,10.333333333333334
"Easton city, Missouri",121,108,13,29,21034,10.743801652892563
"South Lineville town, Missouri",15,6,9,29,68942,60.0
"Castle Point CDP, Missouri",1391,973,418,29,11908,30.050323508267436
"Paris city, Missouri",684,551,133,29,56144,19.444444444444446
"Edgar Springs city, Missouri",111,79,32,29,21214,28.82882882882883
"Brentwood city, Missouri",4286,4031,255,29,08236,5.949603359776015
"Charlack city, Missouri",701,634,67,29,13330,9.557774607703282
"Chesterfield city, Missouri",20078,19281,797,29,13600,3.9695188763821094
"Clayton city, Missouri",6244,5633,611,29,14572,9.78539397821909
"Glasgow Village CDP, Missouri",1983,1342,641,29,27226,32.32476046394352
"Greendale city, Missouri",415,360,55,29,29152,13.253012048192772
"Huntleigh city, Missouri",163,154,9,29,33850,5.521472392638037
"Kirkwood city, Missouri",12648,11704,944,29,39044,7.463630613535736
"Excelsior Springs city, Missouri",4921,4444,477,29,23086,9.693151798414956
"Hornersville city, Missouri",316,273,43,29,33076,13.60759493670886
"Coffey city, Missouri",73,64,9,29,15274,12.32876712328767
"Parnell city, Missouri",145,76,69,29,56360,47.58620689655172
"Fleming city, Missouri",56,32,24,29,24562,42.857142857142854
"Orrick city, Missouri",342,271,71,29,54938,20.760233918128655
"Coney Island village, Missouri",97,31,66,29,16115,68.04123711340206
"Crane city, Missouri",651,549,102,29,17074,15.668202764976957
"Milford village, Missouri",15,9,6,29,48098,40.0
"Cardwell city, Missouri",395,294,101,29,11350,25.569620253164555
"Senath city, Missouri",758,626,132,29,66638,17.41424802110818
"Cobalt village, Missouri",140,126,14,29,15220,10.0
"Jackson city, Missouri",6120,5567,553,29,35648,9.0359477124183
"Pocahontas town, Missouri",29,28,1,29,58628,3.4482758620689653
"Sturgeon city, Missouri",380,330,50,29,71224,13.157894736842104
"Downing city, Missouri",239,172,67,29,19990,28.03347280334728
"Greentop city, Missouri",251,234,17,29,29422,6.772908366533864
"Prathersville village, Missouri",65,58,7,29,59816,10.76923076923077
"Craig city, Missouri",138,88,50,29,17056,36.231884057971016
"Fortescue town, Missouri",25,12,13,29,25228,52.0
"Elmo city, Missouri",109,83,26,29,22024,23.853211009174313
"Oregon city, Missouri",454,415,39,29,54848,8.590308370044053
"Rothville village, Missouri",42,20,22,29,63236,52.38095238095239
"Catron town, Missouri",29,21,8,29,12052,27.586206896551722
"Skidmore city, Missouri",153,103,50,29,68132,32.6797385620915
"Green City city, Missouri",344,229,115,29,29134,33.43023255813954
"Kahoka city, Missouri",987,910,77,29,37790,7.801418439716312
"Clever city, Missouri",1025,935,90,29,14788,8.780487804878048
"Nixa city, Missouri",8757,8155,602,29,52616,6.874500399680255
"Denver village, Missouri",29,15,14,29,19162,48.275862068965516
"Walnut Grove city, Missouri",309,269,40,29,76840,12.944983818770226
"Palmyra city, Missouri",1715,1431,284,29,56036,16.559766763848398
"Bowling Green city, Missouri",1464,1353,111,29,07660,7.581967213114754
"Luray village, Missouri",41,41,0,29,44516,0.0
"Spokane CDP, Missouri",34,34,0,29,69518,0.0
"Bucklin city, Missouri",267,202,65,29,09388,24.344569288389515
"Meadville city, Missouri",212,188,24,29,47036,11.320754716981133
"Neosho city, Missouri",4928,4405,523,29,51572,10.612824675324676
"Ashburn town, Missouri",28,0,28,29,02152,100.0
"Otterville city, Missouri",169,155,14,29,55478,8.284023668639055
"Springfield city, Missouri",81396,73665,7731,29,70000,9.498009730207873
"Leeton city, Missouri",300,214,86,29,41402,28.666666666666668
"Clarksville city, Missouri",294,215,79,29,14194,26.87074829931973
"Ethel town, Missouri",39,18,21,29,22672,53.84615384615385
"New Cambria city, Missouri",105,63,42,29,51734,40.0
"Fulton city, Missouri",4405,3784,621,29,26182,14.09761634506243
"Cuba city, Missouri",1621,1434,187,29,17668,11.536088834053054
"Bigelow village, Missouri",18,6,12,29,05464,66.66666666666666
"Mendon city, Missouri",125,76,49,29,47288,39.2
"Salisbury city, Missouri",879,683,196,29,65450,22.29806598407281
"Sumner town, Missouri",60,37,23,29,71620,38.333333333333336
"Gerald city, Missouri",602,502,100,29,26866,16.611295681063122
"Miramiguoa Park village, Missouri",55,39,16,29,48880,29.09090909090909
"Union city, Missouri",4584,4410,174,29,74626,3.7958115183246073
"Rockaway Beach city, Missouri",614,408,206,29,62570,33.55048859934853
"Taneyville village, Missouri",185,121,64,29,72232,34.5945945945946
"Powersville village, Missouri",38,17,21,29,59420,55.26315789473685
"Bethel village, Missouri",73,53,20,29,05104,27.397260273972602
"Wyatt city, Missouri",181,135,46,29,81178,25.41436464088398
"Coffeeville town, Mississippi",551,462,89,28,14740,16.152450090744104
"Stonewall town, Mississippi",566,403,163,28,70760,28.79858657243816
"Pearl city, Mississippi",11272,10460,812,28,55760,7.203690560681335
"Myrtle town, Mississippi",218,176,42,28,50280,19.26605504587156
"North Carrollton town, Mississippi",234,124,110,28,52400,47.008547008547005
"Collins city, Mississippi",1075,939,136,28,15140,12.651162790697674
"Kilmichael town, Mississippi",442,356,86,28,37560,19.457013574660635
"Winona city, Mississippi",2216,1839,377,28,80760,17.012635379061372
"Kosciusko city, Mississippi",3219,2712,507,28,38320,15.7502329916123
"Ethel town, Mississippi",240,200,40,28,23220,16.666666666666664
"Sallis town, Mississippi",109,105,4,28,64800,3.669724770642202
"Ashland town, Mississippi",266,224,42,28,02140,15.789473684210526
"Learned town, Mississippi",42,34,8,28,39880,19.047619047619047
"Raymond city, Mississippi",584,502,82,28,61160,14.04109589041096
"Standing Pine CDP, Mississippi",128,128,0,28,70120,0.0
"Drew city, Mississippi",881,769,112,28,20020,12.712826333711691
"North Tunica CDP, Mississippi",275,275,0,28,52680,0.0
"Monticello town, Mississippi",726,619,107,28,48560,14.738292011019283
"Bay St. Louis city, Mississippi",7632,5610,2022,28,03980,26.493710691823903
"Vardaman town, Mississippi",481,441,40,28,76320,8.316008316008316
"Houston city, Mississippi",1469,1254,215,28,33900,14.635806671204902
"Okolona city, Mississippi",1321,1147,174,28,53680,13.171839515518545
"Waveland city, Mississippi",3281,2581,700,28,78200,21.334958854007922
"Webb town, Mississippi",200,167,33,28,78480,16.5
"Belmont town, Mississippi",1032,832,200,28,05100,19.379844961240313
"Golden town, Mississippi",146,99,47,28,27940,32.19178082191781
"Osyka town, Mississippi",200,141,59,28,54640,29.5
"Southaven city, Mississippi",20551,19174,1377,28,69280,6.7004038732908375
"Helena CDP, Mississippi",775,586,189,28,31460,24.387096774193548
"Sandersville town, Mississippi",382,292,90,28,64920,23.56020942408377
"Louisville city, Mississippi",2756,2359,397,28,42280,14.404934687953554
"Macon city, Mississippi",1283,1008,275,28,44240,21.434138737334372
"Shuqualak town, Mississippi",260,209,51,28,67640,19.615384615384617
"Eden village, Mississippi",55,51,4,28,21420,7.2727272727272725
"Itta Bena city, Mississippi",835,583,252,28,35260,30.179640718562872
"Silver City town, Mississippi",132,121,11,28,67920,8.333333333333332
"Blue Mountain town, Mississippi",385,338,47,28,07060,12.207792207792208
"Dumas town, Mississippi",208,180,28,28,20340,13.461538461538462
"Gattman village, Mississippi",57,47,10,28,26780,17.543859649122805
"Smithville town, Mississippi",314,275,39,28,68720,12.420382165605096
"Goodman town, Mississippi",372,263,109,28,28220,29.301075268817208
"Wesson town, Mississippi",688,577,111,28,78640,16.13372093023256
"McLain town, Mississippi",220,143,77,28,43840,35.0
"Cruger town, Mississippi",178,155,23,28,16980,12.921348314606742
"Pickens town, Mississippi",465,335,130,28,57200,27.956989247311824
"Tchula town, Mississippi",798,716,82,28,72440,10.275689223057643
"Fulton city, Mississippi",1421,1257,164,28,26300,11.541168191414497
"Gunnison town, Mississippi",157,141,16,28,29900,10.191082802547772
"Rosedale city, Mississippi",702,625,77,28,63720,10.968660968660968
"Crystal Springs city, Mississippi",1733,1549,184,28,17060,10.617426428159261
"Jackson city, Mississippi",74543,62109,12434,28,36000,16.680305327126625
"Tunica town, Mississippi",509,477,32,28,74760,6.286836935166994
"New Albany city, Mississippi",3586,2976,610,28,51000,17.01059676519799
"Sherman town, Mississippi",299,269,30,28,67200,10.033444816053512
"Duck Hill town, Mississippi",633,544,89,28,20260,14.06003159557662
"Maben town, Mississippi",355,293,62,28,42980,17.464788732394364
"Mathiston town, Mississippi",259,225,34,28,45720,13.127413127413126
"Yazoo City city, Mississippi",4534,3899,635,28,81520,14.005293339214822
"State Line town, Mississippi",281,218,63,28,70320,22.419928825622776
"Gulf Hills CDP, Mississippi",3511,2813,698,28,29620,19.880375961264598
"Gulf Park Estates CDP, Mississippi",2258,2073,185,28,29660,8.193091231178034
"Hurley CDP, Mississippi",511,469,42,28,34340,8.21917808219178
"Pascagoula city, Mississippi",10492,8304,2188,28,55360,20.853983987800227
"St. Martin CDP, Mississippi",3584,2832,752,28,64680,20.982142857142858
"Como town, Mississippi",706,599,107,28,15500,15.155807365439095
"Mayersville town, Mississippi",158,150,8,28,46000,5.063291139240507
"Big Creek village, Mississippi",86,68,18,28,06060,20.930232558139537
"Bruce town, Mississippi",932,742,190,28,09180,20.386266094420602
"Slate Springs village, Mississippi",53,38,15,28,68320,28.30188679245283
"Columbia city, Mississippi",2755,2118,637,28,15340,23.121597096188747
"New Houlka town, Mississippi",301,241,60,28,51420,19.93355481727575
"Crenshaw town, Mississippi",415,337,78,28,16460,18.795180722891565
"Prentiss town, Mississippi",598,473,125,28,59920,20.903010033444815
"D'Iberville city, Mississippi",5781,5308,473,28,19180,8.181975436775645
"Rolling Fork city, Mississippi",957,893,64,28,63560,6.687565308254964
"Tucker CDP, Mississippi",181,164,17,28,74675,9.392265193370166
"Morton city, Mississippi",1263,1125,138,28,49080,10.926365795724466
"Tishomingo town, Mississippi",209,178,31,28,73720,14.832535885167463
"Olive Branch city, Mississippi",14110,13347,763,28,54040,5.407512402551382
"Roxie town, Mississippi",215,169,46,28,64080,21.3953488372093
"Redwater CDP, Mississippi",272,264,8,28,61400,2.941176470588235
"McCool town, Mississippi",67,45,22,28,43400,32.83582089552239
"Schlater town, Mississippi",139,94,45,28,66080,32.37410071942446
"Lena town, Mississippi",81,71,10,28,40360,12.345679012345679
"Walnut Grove town, Mississippi",256,195,61,28,77520,23.828125
"Hatley town, Mississippi",242,224,18,28,30980,7.43801652892562
"Duncan town, Mississippi",166,115,51,28,20380,30.72289156626506
"Shelby city, Mississippi",877,712,165,28,67040,18.814139110604334
"Winstonville town, Mississippi",78,67,11,28,80800,14.102564102564102
"Leakesville town, Mississippi",513,440,73,28,39840,14.230019493177387
"Alligator town, Mississippi",72,59,13,28,00940,18.055555555555554
"Marion town, Mississippi",704,624,80,28,45160,11.363636363636363
"Poplarville city, Mississippi",849,668,181,28,59480,21.319199057714957
"Gloster town, Mississippi",615,419,196,28,27820,31.869918699186993
"Pachuta town, Mississippi",120,87,33,28,54960,27.500000000000004
"Toccopola town, Mississippi",130,108,22,28,73760,16.923076923076923
"Horn Lake city, Mississippi",10564,9506,1058,28,33700,10.01514577811435
"Artesia town, Mississippi",200,163,37,28,02100,18.5
"Caledonia town, Mississippi",566,551,15,28,10460,2.65017667844523
"Aberdeen city, Mississippi",2380,2023,357,28,00180,15.0
"Falkner town, Mississippi",305,264,41,28,24220,13.442622950819672
"Paden village, Mississippi",60,44,16,28,55000,26.666666666666668
"Alcorn State University CDP, Mississippi",203,148,55,28,00680,27.093596059113302
"Arnold Line CDP, Mississippi",945,822,123,28,02060,13.015873015873018
"Port Gibson city, Mississippi",749,592,157,28,59560,20.961281708945258
"Kiln CDP, Mississippi",1053,944,109,28,37600,10.351377018043685
"Pontotoc city, Mississippi",2178,1967,211,28,59160,9.687786960514233
"Mantee village, Mississippi",108,100,8,28,44960,7.4074074074074066
"Louise town, Mississippi",118,100,18,28,42240,15.254237288135593
"Walnut town, Mississippi",416,354,62,28,77480,14.903846153846153
"Long Beach city, Mississippi",6929,6357,572,28,41680,8.25515947467167
"Hattiesburg city, Mississippi",21032,17495,3537,28,31020,16.817230886268543
"Marietta town, Mississippi",123,108,15,28,45120,12.195121951219512
"Lumberton city, Mississippi",939,739,200,28,42640,21.299254526091588
"Columbus AFB CDP, Mississippi",588,560,28,28,15420,4.761904761904762
"Silver Creek town, Mississippi",74,56,18,28,67960,24.324324324324326
"Gulfport city, Mississippi",33848,28478,5370,28,29700,15.865043724887734
"Beaumont town, Mississippi",543,427,116,28,04500,21.36279926335175
"Tillatoba town, Mississippi",12,12,0,28,73440,0.0
"Utica town, Mississippi",375,332,43,28,75760,11.466666666666667
"Batesville city, Mississippi",2909,2517,392,28,03620,13.475421106909591
"Potts Camp town, Mississippi",293,266,27,28,59720,9.215017064846416
"Jumpertown town, Mississippi",277,236,41,28,37040,14.801444043321299
"Algoma town, Mississippi",282,241,41,28,00820,14.539007092198581
"Mize town, Mississippi",110,80,30,28,48240,27.27272727272727
"Bude town, Mississippi",533,369,164,28,09460,30.76923076923077
"Cleveland city, Mississippi",5177,4360,817,28,14260,15.781340544717018
"Fayette city, Mississippi",666,516,150,28,24500,22.52252252252252
"Isola town, Mississippi",357,313,44,28,35220,12.324929971988796
"West town, Mississippi",101,56,45,28,78680,44.554455445544555
"Quitman city, Mississippi",1064,864,200,28,60720,18.796992481203006
"Picayune city, Mississippi",5312,4336,976,28,57160,18.373493975903614
"Richland city, Mississippi",2663,2459,204,28,62400,7.660533233195645
"Waynesboro city, Mississippi",2052,1695,357,28,78360,17.39766081871345
"Walthall village, Mississippi",48,41,7,28,77640,14.583333333333334
"Jonestown town, Mississippi",512,440,72,28,36800,14.0625
"Edwards town, Mississippi",501,443,58,28,21580,11.57684630738523
"Kossuth village, Mississippi",141,105,36,28,38360,25.53191489361702
"Weir town, Mississippi",280,232,48,28,78520,17.142857142857142
"Nellieburg CDP, Mississippi",547,487,60,28,50720,10.968921389396709
"Sidon town, Mississippi",135,110,25,28,67840,18.51851851851852
"West Point city, Mississippi",4826,4245,581,28,79120,12.038955656858683
"Chunky town, Mississippi",197,166,31,28,13580,15.736040609137056
"Eupora city, Mississippi",1003,836,167,28,23420,16.650049850448653
"Verona city, Mississippi",1674,1323,351,28,76560,20.967741935483872
"Greenwood city, Mississippi",6491,5128,1363,28,29340,20.998305345863503
"Belzoni city, Mississippi",866,757,109,28,05140,12.58660508083141
"Terry town, Mississippi",544,470,74,28,72680,13.602941176470587
"Columbus city, Mississippi",12054,9749,2305,28,15380,19.12228305956529
"Petal city, Mississippi",4139,3795,344,28,56800,8.311186276878473
"Amory city, Mississippi",3278,2940,338,28,01260,10.311165344722392
"Boyle town, Mississippi",350,310,40,28,08180,11.428571428571429
"Sunflower town, Mississippi",466,426,40,28,71600,8.583690987124463
"Saucier CDP, Mississippi",544,467,77,28,65720,14.154411764705882
"Union town, Mississippi",874,745,129,28,75360,14.759725400457665
"Sebastopol town, Mississippi",146,142,4,28,66280,2.73972602739726
"Tutwiler town, Mississippi",405,346,59,28,75040,14.5679012345679
"Iuka city, Mississippi",1517,1164,353,28,35300,23.269611074489124
"Natchez city, Mississippi",7939,6228,1711,28,50440,21.551832724524502
"Montrose town, Mississippi",81,55,26,28,48640,32.098765432098766
"Summit town, Mississippi",878,748,130,28,71480,14.80637813211845
"Sumrall town, Mississippi",657,582,75,28,71560,11.415525114155251
"Starkville city, Mississippi",12495,9925,2570,28,70240,20.568227290916365
"McComb city, Mississippi",5913,4955,958,28,43280,16.20158971757145
"New Augusta town, Mississippi",284,241,43,28,51040,15.140845070422534
"Richton town, Mississippi",437,307,130,28,62480,29.74828375286041
"Crowder town, Mississippi",317,269,48,28,16940,15.141955835962145
"Sledge town, Mississippi",203,177,26,28,68400,12.807881773399016
"Enterprise town, Mississippi",272,217,55,28,22580,20.22058823529412
"De Kalb town, Mississippi",583,470,113,28,18340,19.382504288164665
"Wade CDP, Mississippi",467,411,56,28,77080,11.991434689507495
"Glen town, Mississippi",231,189,42,28,27540,18.181818181818183
"Collinsville CDP, Mississippi",645,645,0,28,15180,0.0
"Meridian city, Mississippi",19302,15815,3487,28,46640,18.06548544192312
"Ellisville city, Mississippi",1580,1352,228,28,22020,14.430379746835442
"Soso town, Mississippi",186,169,17,28,69160,9.13978494623656
"Oakland town, Mississippi",268,230,38,28,53200,14.17910447761194
"Cary town, Mississippi",174,136,38,28,11820,21.839080459770116
"West Hattiesburg CDP, Mississippi",2607,2266,341,28,78890,13.080168776371309
"Crosby town, Mississippi",147,112,35,28,16620,23.809523809523807
"Shubuta town, Mississippi",212,161,51,28,67520,24.056603773584907
"Anguilla town, Mississippi",327,280,47,28,01500,14.37308868501529
