Place,Total Housing Units,Occupied Units,Vacant Units,State ID,Place ID,Vacancy Rate
"Clinton city, Iowa",12473,10890,1583,19,14430,12.691413453058606
"Goose Lake city, Iowa",96,94,2,19,31665,2.083333333333333
"Welton city, Iowa",67,60,7,19,83370,10.44776119402985
"Charles City city, Iowa",3705,3318,387,19,12765,10.445344129554655
"Rudd city, Iowa",253,216,37,19,69195,14.624505928853754
"Fairfield city, Iowa",4314,3840,474,19,26445,10.987482614742698
"Jamaica city, Iowa",121,109,12,19,39225,9.917355371900827
"New Hartford city, Iowa",265,231,34,19,56145,12.830188679245284
"Malvern city, Iowa",429,397,32,19,48720,7.459207459207459
"Adair city, Iowa",420,354,66,19,00370,15.714285714285714
"Barnum city, Iowa",89,84,5,19,04645,5.617977528089887
"Steamboat Rock city, Iowa",157,142,15,19,75180,9.554140127388536
"Union city, Iowa",199,166,33,19,79545,16.582914572864322
"Lakota city, Iowa",150,119,31,19,42825,20.666666666666668
"Ledyard city, Iowa",71,55,16,19,44130,22.535211267605636
"Swea City city, Iowa",337,267,70,19,76755,20.77151335311573
"Melbourne city, Iowa",390,340,50,19,50880,12.82051282051282
"Rhodes city, Iowa",129,108,21,19,66540,16.27906976744186
"Davenport city, Iowa",45075,40273,4802,19,19000,10.653355518580145
"Soldier city, Iowa",138,106,32,19,73785,23.18840579710145
"Turin city, Iowa",46,46,0,19,79185,0.0
"Whiting city, Iowa",379,357,22,19,85215,5.804749340369393
"Churdan city, Iowa",236,219,17,19,13350,7.203389830508475
"Masonville city, Iowa",51,47,4,19,50205,7.8431372549019605
"Jefferson city, Iowa",2102,1764,338,19,39450,16.079923882017127
"Stanhope city, Iowa",220,184,36,19,74910,16.363636363636363
"Mingo city, Iowa",131,117,14,19,52815,10.687022900763358
"Blairsburg city, Iowa",79,69,10,19,06760,12.658227848101266
"Kamrar city, Iowa",74,62,12,19,40215,16.216216216216218
"Bridgewater city, Iowa",96,71,25,19,08425,26.041666666666668
"Boxholm city, Iowa",97,85,12,19,07750,12.371134020618557
"Madrid city, Iowa",1097,1039,58,19,48450,5.28714676390155
"Ogden city, Iowa",987,896,91,19,58665,9.219858156028367
"Bassett city, Iowa",27,24,3,19,04780,11.11111111111111
"Panora city, Iowa",568,460,108,19,61320,19.014084507042252
"Winfield city, Iowa",458,404,54,19,86385,11.790393013100436
"Archer city, Iowa",75,63,12,19,02530,16.0
"Vining city, Iowa",37,35,2,19,81120,5.405405405405405
"Kendallville city, Indiana",4655,4205,450,18,39402,9.66702470461869
"Ligonier city, Indiana",1604,1534,70,18,43686,4.364089775561098
"Brookston town, Indiana",673,636,37,18,08146,5.49777117384844
"Glenwood town, Indiana",133,88,45,18,28062,33.83458646616541
"Russiaville town, Indiana",506,441,65,18,66546,12.845849802371543
"Blountsville town, Indiana",56,45,11,18,05896,19.642857142857142
"Knightstown town, Indiana",1069,888,181,18,40266,16.931711880261926
"Mooreland town, Indiana",144,115,29,18,50940,20.13888888888889
"Carlisle town, Indiana",337,289,48,18,10270,14.243323442136498
"Woodburn city, Indiana",664,617,47,18,85184,7.078313253012049
"Parker City town, Indiana",640,556,84,18,57978,13.125
"Saratoga town, Indiana",164,121,43,18,68058,26.21951219512195
"Remington town, Indiana",702,629,73,18,63756,10.3988603988604
"Dugger town, Indiana",393,311,82,18,18892,20.865139949109416
"Cannelburg town, Indiana",73,68,5,18,10090,6.8493150684931505
"Columbus city, Indiana",20027,18716,1311,18,14734,6.546162680381486
"Elizabethtown town, Indiana",193,165,28,18,20692,14.507772020725387
"Corunna town, Indiana",110,96,14,18,15220,12.727272727272727
"Greenfield city, Indiana",9544,8965,579,18,29520,6.06663872590109
"New Palestine town, Indiana",903,852,51,18,53352,5.647840531561462
"Jeffersonville city, Indiana",21055,18457,2598,18,38358,12.339111849916884
"New Washington CDP, Indiana",260,250,10,18,53820,3.8461538461538463
"Brooksburg town, Indiana",55,50,5,18,08092,9.090909090909092
"Whiting city, Indiana",2133,1798,335,18,84122,15.705578996718236
"Dune Acres town, Indiana",147,83,64,18,18982,43.53741496598639
"Porter town, Indiana",1724,1580,144,18,61164,8.352668213457076
"Vera Cruz town, Indiana",45,45,0,18,78776,0.0
"Bloomfield town, Indiana",1243,1033,210,18,05716,16.894609814963797
"Fairmount town, Indiana",1266,1111,155,18,22432,12.243285939968404
"Birdseye town, Indiana",241,217,24,18,05374,9.95850622406639
"State Line City town, Indiana",108,91,17,18,72764,15.74074074074074
"Boswell town, Indiana",334,282,52,18,06706,15.568862275449103
"Grabill town, Indiana",545,523,22,18,28494,4.036697247706423
"Lake Dalecarlia CDP, Indiana",714,570,144,18,41058,20.168067226890756
"Dunreith town, Indiana",75,68,7,18,19162,9.333333333333334
"Middletown town, Indiana",1072,1026,46,18,49014,4.291044776119403
"Highland town, Indiana",9884,9473,411,18,33466,4.158235532173209
"Lake Station city, Indiana",4724,4086,638,18,41535,13.50550381033023
"St. John town, Indiana",5800,5684,116,18,66852,2.0
"East Germantown town, Indiana",190,154,36,18,19756,18.947368421052634
"Fountain City town, Indiana",351,299,52,18,25090,14.814814814814813
"Mount Auburn town, Indiana",43,43,0,18,51318,0.0
"Oolitic town, Indiana",564,497,67,18,56682,11.879432624113475
"Coatesville town, Indiana",221,209,12,18,14050,5.429864253393665
"Jamestown town, Indiana",427,400,27,18,37692,6.323185011709602
"Stilesville town, Indiana",162,130,32,18,73178,19.753086419753085
"Mentone town, Indiana",462,416,46,18,48402,9.956709956709958
"Nappanee city, Indiana",2928,2694,234,18,52020,7.991803278688526
"Middlebury town, Indiana",1279,1254,25,18,48924,1.9546520719311962
"Sidney town, Indiana",35,32,3,18,69678,8.571428571428571
