NAME,B01003_001E,state,county
"Wabaunsee County, Kansas",6997,20,197
"Wallace County, Kansas",1595,20,199
"Washington County, Kansas",5686,20,201
"Wichita County, Kansas",2204,20,203
"Wilson County, Kansas",9061,20,205
"Woodson County, Kansas",3211,20,207
"Wyandotte County, Kansas",160806,20,209
"Adair County, Kentucky",18852,21,001
"Allen County, Kentucky",20355,21,003
"Anderson County, Kentucky",21761,21,005
"Ballard County, Kentucky",8256,21,007
"Barren County, Kentucky",42925,21,009
"Bath County, Kentucky",11978,21,011
"Bell County, Kentucky",27950,21,013
"Boone County, Kentucky",124617,21,015
"Bourbon County, Kentucky",20013,21,017
"Boyd County, Kentucky",48917,21,019
"Boyle County, Kentucky",29388,21,021
"Bracken County, Kentucky",8425,21,023
"Breathitt County, Kentucky",13591,21,025
"Breckinridge County, Kentucky",20061,21,027
"Bullitt County, Kentucky",76961,21,029
"Butler County, Kentucky",12835,21,031
"Caldwell County, Kentucky",12826,21,033
"Calloway County, Kentucky",38106,21,035
"Campbell County, Kentucky",91475,21,037
"Carlisle County, Kentucky",4984,21,039
"Carroll County, Kentucky",10830,21,041
"Carter County, Kentucky",27326,21,043
"Casey County, Kentucky",15954,21,045
"Christian County, Kentucky",74159,21,047
"Clark County, Kentucky",35657,21,049
"Clay County, Kentucky",21300,21,051
"Clinton County, Kentucky",10188,21,053
"Crittenden County, Kentucky",9222,21,055
"Cumberland County, Kentucky",6807,21,057
"Daviess County, Kentucky",98173,21,059
"Edmonson County, Kentucky",12105,21,061
"Elliott County, Kentucky",7725,21,063
"Estill County, Kentucky",14476,21,065
"Fayette County, Kentucky",308306,21,067
"Fleming County, Kentucky",14544,21,069
"Floyd County, Kentucky",38649,21,071
"Franklin County, Kentucky",49778,21,073
"Fulton County, Kentucky",6422,21,075
"Gallatin County, Kentucky",8567,21,077
"Garrard County, Kentucky",16976,21,079
"Grant County, Kentucky",24670,21,081
"Graves County, Kentucky",37502,21,083
"Grayson County, Kentucky",26001,21,085
"Green County, Kentucky",11149,21,087
"Greenup County, Kentucky",36477,21,089
"Hancock County, Kentucky",8669,21,091
"Hardin County, Kentucky",107529,21,093
"Harlan County, Kentucky",28400,21,095
"Harrison County, Kentucky",18648,21,097
"Hart County, Kentucky",18441,21,099
"Henderson County, Kentucky",46396,21,101
"Henry County, Kentucky",15455,21,103
"Hickman County, Kentucky",4720,21,105
"Hopkins County, Kentucky",46518,21,107
"Jackson County, Kentucky",13357,21,109
"Jefferson County, Kentucky",755809,21,111
"Jessamine County, Kentucky",50328,21,113
"Johnson County, Kentucky",23350,21,115
"Kenton County, Kentucky",163007,21,117
"Knott County, Kentucky",16000,21,119
"Knox County, Kentucky",31809,21,121
"Larue County, Kentucky",14149,21,123
"Laurel County, Kentucky",59751,21,125
"Lawrence County, Kentucky",15821,21,127
"Lee County, Kentucky",7119,21,129
"Leslie County, Kentucky",10997,21,131
"Letcher County, Kentucky",23671,21,133
"Lewis County, Kentucky",13790,21,135
"Lincoln County, Kentucky",24498,21,137
"Livingston County, Kentucky",9394,21,139
"Logan County, Kentucky",26851,21,141
"Lyon County, Kentucky",8402,21,143
"McCracken County, Kentucky",65408,21,145
"McCreary County, Kentucky",18001,21,147
"McLean County, Kentucky",9500,21,149
"Madison County, Kentucky",85838,21,151
"Magoffin County, Kentucky",12979,21,153
"Marion County, Kentucky",19717,21,155
"Marshall County, Kentucky",31181,21,157
"Martin County, Kentucky",12631,21,159
"Mason County, Kentucky",17296,21,161
"Meade County, Kentucky",29098,21,163
"Menifee County, Kentucky",6343,21,165
"Mercer County, Kentucky",21342,21,167
"Metcalfe County, Kentucky",9985,21,169
"Monroe County, Kentucky",10765,21,171
"Montgomery County, Kentucky",27167,21,173
"Morgan County, Kentucky",13428,21,175
"Muhlenberg County, Kentucky",31309,21,177
"Nelson County, Kentucky",44564,21,179
"Nicholas County, Kentucky",7075,21,181
"Ohio County, Kentucky",24065,21,183
"Oldham County, Kentucky",63037,21,185
"Owen County, Kentucky",10711,21,187
"Owsley County, Kentucky",4616,21,189
"Pendleton County, Kentucky",14514,21,191
"Perry County, Kentucky",28041,21,193
"Pike County, Kentucky",63434,21,195
"Powell County, Kentucky",12447,21,197
"Pulaski County, Kentucky",63635,21,199
"Robertson County, Kentucky",2208,21,201
"Rockcastle County, Kentucky",16942,21,203
"Rowan County, Kentucky",23608,21,205
"Russell County, Kentucky",17669,21,207
"Scott County, Kentucky",50178,21,209
"Shelby County, Kentucky",44290,21,211
"Simpson County, Kentucky",17704,21,213
"Spencer County, Kentucky",17577,21,215
"Taylor County, Kentucky",24993,21,217
"Todd County, Kentucky",12524,21,219
"Trigg County, Kentucky",14250,21,221
"Trimble County, Kentucky",8783,21,223
"Union County, Kentucky",15138,21,225
"Warren County, Kentucky",118950,21,227
"Washington County, Kentucky",11910,21,229
"Wayne County, Kentucky",20655,21,231
"Webster County, Kentucky",13357,21,233
"Whitley County, Kentucky",35794,21,235
"Wolfe County, Kentucky",7261,21,237
"Woodford County, Kentucky",25317,21,239
"Acadia Parish, Louisiana",62163,22,001
"Allen Parish, Louisiana",25653,22,003
"Ascension Parish, Louisiana",114738,22,005
"Assumption Parish, Louisiana",23057,22,007
"Avoyelles Parish, Louisiana",41389,22,009
"Beauregard Parish, Louisiana",36259,22,011
"Bienville Parish, Louisiana",13977,22,013
"Bossier Parish, Louisiana",123403,22,015
"Caddo Parish, Louisiana",254742,22,017
"Calcasieu Parish, Louisiana",195887,22,019
"Caldwell Parish, Louisiana",9990,22,021
"Cameron Parish, Louisiana",6706,22,023
"Catahoula Parish, Louisiana",10247,22,025
"Claiborne Parish, Louisiana",16639,22,027
"Concordia Parish, Louisiana",20449,22,029
"De Soto Parish, Louisiana",26965,22,031
"East Baton Rouge Parish, Louisiana",444690,22,033
"Vermilion County, Illinois",80368,17,183
"Wabash County, Illinois",11652,17,185
"Warren County, Illinois",17701,17,187
"Washington County, Illinois",14457,17,189
"Wayne County, Illinois",16555,17,191
"White County, Illinois",14464,17,193
"Whiteside County, Illinois",57525,17,195
"Will County, Illinois",683995,17,197
"Williamson County, Illinois",67121,17,199
"Winnebago County, Illinois",290439,17,201
"Woodford County, Illinois",39106,17,203
"Adams County, Indiana",34642,18,001
"Allen County, Indiana",363453,18,003
"Bartholomew County, Indiana",79488,18,005
"Benton County, Indiana",8752,18,007
"Blackford County, Indiana",12476,18,009
"Boone County, Indiana",60511,18,011
"Brown County, Indiana",15011,18,013
"Carroll County, Indiana",20014,18,015
"Cass County, Indiana",38476,18,017
"Clark County, Indiana",113181,18,019
"Clay County, Indiana",26686,18,021
"Clinton County, Indiana",32835,18,023
"Crawford County, Indiana",10591,18,025
"Daviess County, Indiana",32411,18,027
"Dearborn County, Indiana",49679,18,029
"Decatur County, Indiana",26240,18,031
"DeKalb County, Indiana",42449,18,033
"Delaware County, Indiana",117335,18,035
"Dubois County, Indiana",42291,18,037
"Elkhart County, Indiana",200685,18,039
"Fayette County, Indiana",23773,18,041
"Floyd County, Indiana",75900,18,043
"Fountain County, Indiana",16888,18,045
"Franklin County, Indiana",22935,18,047
"Fulton County, Indiana",20527,18,049
"Gibson County, Indiana",33668,18,051
"Grant County, Indiana",68896,18,053
"Greene County, Indiana",32815,18,055
"Hamilton County, Indiana",296635,18,057
"Hancock County, Indiana",71328,18,059
"Harrison County, Indiana",39230,18,061
"Hendricks County, Indiana",153435,18,063
"Henry County, Indiana",49146,18,065
"Howard County, Indiana",82765,18,067
"Huntington County, Indiana",36863,18,069
"Jackson County, Indiana",43471,18,071
"Jasper County, Indiana",33448,18,073
"Jay County, Indiana",21255,18,075
"Jefferson County, Indiana",32453,18,077
"Jennings County, Indiana",28113,18,079
"Johnson County, Indiana",145645,18,081
"Knox County, Indiana",38062,18,083
"Kosciusko County, Indiana",77983,18,085
"LaGrange County, Indiana",38084,18,087
"Lake County, Indiana",491596,18,089
"LaPorte County, Indiana",111280,18,091
"Lawrence County, Indiana",45814,18,093
"Madison County, Indiana",130280,18,095
"Marion County, Indiana",926335,18,097
"Marshall County, Indiana",46962,18,099
"Martin County, Indiana",10262,18,101
"Miami County, Indiana",36211,18,103
"Monroe County, Indiana",142404,18,105
"Montgomery County, Indiana",38172,18,107
"Morgan County, Indiana",69403,18,109
"Newton County, Indiana",14057,18,111
"Noble County, Indiana",47546,18,113
"Ohio County, Indiana",6033,18,115
"Orange County, Indiana",19725,18,117
"Owen County, Indiana",21192,18,119
"Parke County, Indiana",17107,18,121
"Perry County, Indiana",19414,18,123
"Pike County, Indiana",12687,18,125
"Porter County, Indiana",166570,18,127
"Posey County, Indiana",25567,18,129
"Pulaski County, Indiana",13047,18,131
"Putnam County, Indiana",37650,18,133
"Randolph County, Indiana",25596,18,135
"Ripley County, Indiana",28612,18,137
"Rush County, Indiana",16991,18,139
"St. Joseph County, Indiana",267246,18,141
"Scott County, Indiana",23783,18,143
"Shelby County, Indiana",44441,18,145
"Spencer County, Indiana",20856,18,147
"Starke County, Indiana",23117,18,149
"Steuben County, Indiana",34267,18,151
"Sullivan County, Indiana",21111,18,153
"Switzerland County, Indiana",10500,18,155
"Tippecanoe County, Indiana",180952,18,157
"Tipton County, Indiana",15573,18,159
"Union County, Indiana",7299,18,161
"Vanderburgh County, Indiana",181305,18,163
"Vermillion County, Indiana",15860,18,165
"Vigo County, Indiana",108268,18,167
"Wabash County, Indiana",32358,18,169
"Warren County, Indiana",8367,18,171
"Warrick County, Indiana",60995,18,173
"Washington County, Indiana",27930,18,175
"Wayne County, Indiana",67866,18,177
"Wells County, Indiana",27796,18,179
"White County, Indiana",24388,18,181
"Whitley County, Indiana",33330,18,183
"Adair County, Iowa",7426,19,001
"Adams County, Iowa",3892,19,003
"Allamakee County, Iowa",14060,19,005
"Appanoose County, Iowa",12669,19,007
"Audubon County, Iowa",5869,19,009
"Benton County, Iowa",25803,19,011
"Black Hawk County, Iowa",132496,19,013
"Boone County, Iowa",26401,19,015
"Bremer County, Iowa",24539,19,017
"Buchanan County, Iowa",20998,19,019
"Buena Vista County, Iowa",20507,19,021
"Butler County, Iowa",14966,19,023
"Calhoun County, Iowa",9914,19,025
"Carroll County, Iowa",20629,19,027
"Cass County, Iowa",13590,19,029
"Cedar County, Iowa",18375,19,031
"Cerro Gordo County, Iowa",43481,19,033
"Cherokee County, Iowa",11853,19,035
"Chickasaw County, Iowa",12244,19,037
"Clarke County, Iowa",9280,19,039
"Clay County, Iowa",16537,19,041
"Clayton County, Iowa",17806,19,043
"Clinton County, Iowa",48365,19,045
"Crawford County, Iowa",17252,19,047
"Dallas County, Iowa",74892,19,049
"Davis County, Iowa",8742,19,051
"Decatur County, Iowa",8249,19,053
"Delaware County, Iowa",17507,19,055
"Des Moines County, Iowa",40208,19,057
"Dickinson County, Iowa",16967,19,059
"Dubuque County, Iowa",95906,19,061
"Emmet County, Iowa",9917,19,063
"Fayette County, Iowa",20589,19,065
"Floyd County, Iowa",16050,19,067
"Franklin County, Iowa",10489,19,069
"Fremont County, Iowa",7106,19,071
"Greene County, Iowa",9174,19,073
"Grundy County, Iowa",12407,19,075
"Guthrie County, Iowa",10740,19,077
"Hamilton County, Iowa",15297,19,079
"Hancock County, Iowa",11092,19,081
"Hardin County, Iowa",17393,19,083
"Harrison County, Iowa",14467,19,085
"Henry County, Iowa",20080,19,087
"Howard County, Iowa",9494,19,089
"Humboldt County, Iowa",9674,19,091
"Ida County, Iowa",7071,19,093
"Iowa County, Iowa",16344,19,095
"Jackson County, Iowa",19572,19,097
"Jasper County, Iowa",36726,19,099
"Jefferson County, Iowa",17318,19,101
"Johnson County, Iowa",139436,19,103
"Jones County, Iowa",20560,19,105
"Keokuk County, Iowa",10291,19,107
"Kossuth County, Iowa",15280,19,109
"Lee County, Iowa",35369,19,111
"Linn County, Iowa",216640,19,113
"Louisa County, Iowa",11271,19,115
"Lucas County, Iowa",8731,19,117
"Lyon County, Iowa",11723,19,119
"Madison County, Iowa",15644,19,121
"Mahaska County, Iowa",22396,19,123
"Marion County, Iowa",33248,19,125
"Marshall County, Iowa",40962,19,127
"Mills County, Iowa",14862,19,129
"Mitchell County, Iowa",10762,19,131
"Monona County, Iowa",9088,19,133
"Monroe County, Iowa",8002,19,135
"Montgomery County, Iowa",10465,19,137
"Muscatine County, Iowa",42913,19,139
"O'Brien County, Iowa",14092,19,141
"Osceola County, Iowa",6211,19,143
"Page County, Iowa",15660,19,145
"Palo Alto County, Iowa",9208,19,147
"Plymouth County, Iowa",24853,19,149
"Pocahontas County, Iowa",7127,19,151
"Polk County, Iowa",452369,19,153
"Pottawattamie County, Iowa",93213,19,155
"Poweshiek County, Iowa",18705,19,157
"Ringgold County, Iowa",5061,19,159
"Sac County, Iowa",10101,19,161
"Scott County, Iowa",169994,19,163
"Shelby County, Iowa",11992,19,165
"Sioux County, Iowa",34509,19,167
"Story County, Iowa",93586,19,169
"Tama County, Iowa",17479,19,171
"Taylor County, Iowa",6213,19,173
"Union County, Iowa",12575,19,175
"Van Buren County, Iowa",7432,19,177
"Wapello County, Iowa",35315,19,179
"Warren County, Iowa",47542,19,181
"Washington County, Iowa",22017,19,183
"Wayne County, Iowa",6384,19,185
"Webster County, Iowa",37295,19,187
"Winnebago County, Iowa",10614,19,189
"Winneshiek County, Iowa",20884,19,191
"Woodbury County, Iowa",102530,19,193
"Worth County, Iowa",7563,19,195
"Wright County, Iowa",12936,19,197
"Allen County, Kansas",13081,20,001
"Anderson County, Kansas",7896,20,003
"Atchison County, Kansas",16633,20,005
"Barber County, Kansas",4770,20,007
"Barton County, Kansas",27399,20,009
"Bourbon County, Kansas",14812,20,011
"Brown County, Kansas",9880,20,013
"Butler County, Kansas",66092,20,015
"Chase County, Kansas",2722,20,017
"Chautauqua County, Kansas",3520,20,019
"Cherokee County, Kansas",20952,20,021
"Cheyenne County, Kansas",2682,20,023
"Clark County, Kansas",2145,20,025
"Clay County, Kansas",8421,20,027
"Cloud County, Kansas",9339,20,029
"Coffey County, Kansas",8458,20,031
"Comanche County, Kansas",2010,20,033
"Cowley County, Kansas",36079,20,035
"Crawford County, Kansas",39304,20,037
"Decatur County, Kansas",2905,20,039
"Dickinson County, Kansas",19516,20,041
"Doniphan County, Kansas",7859,20,043
"Douglas County, Kansas",114967,20,045
"Edwards County, Kansas",2991,20,047
"Elk County, Kansas",2683,20,049
"Ellis County, Kansas",28993,20,051
"Ellsworth County, Kansas",6410,20,053
"Finney County, Kansas",37133,20,055
"Ford County, Kansas",34714,20,057
"Franklin County, Kansas",25753,20,059
"Geary County, Kansas",36787,20,061
"Gove County, Kansas",2735,20,063
"Graham County, Kansas",2593,20,065
"Grant County, Kansas",7816,20,067
"Gray County, Kansas",6065,20,069
"Greeley County, Kansas",1224,20,071
"Greenwood County, Kansas",6393,20,073
"Hamilton County, Kansas",2586,20,075
"Harper County, Kansas",5861,20,077
"Harvey County, Kansas",34835,20,079
"Haskell County, Kansas",4130,20,081
"Hodgeman County, Kansas",1939,20,083
"Jackson County, Kansas",13400,20,085
"Jefferson County, Kansas",18898,20,087
"Jewell County, Kansas",3038,20,089
"Johnson County, Kansas",566814,20,091
"Kearny County, Kansas",3952,20,093
"Kingman County, Kansas",7790,20,095
"Kiowa County, Kansas",2536,20,097
"Labette County, Kansas",21048,20,099
"Lane County, Kansas",1674,20,101
"Leavenworth County, Kansas",78227,20,103
"Lincoln County, Kansas",3154,20,105
"Linn County, Kansas",9528,20,107
"Osage County, Missouri",13758,29,151
"Ozark County, Missouri",9537,29,153
"Pemiscot County, Missouri",17837,29,155
"Perry County, Missouri",19100,29,157
"Pettis County, Missouri",42215,29,159
"Phelps County, Missouri",45029,29,161
"Pike County, Missouri",18517,29,163
"Platte County, Missouri",93394,29,165
"Polk County, Missouri",31107,29,167
"Pulaski County, Missouri",53443,29,169
"Putnam County, Missouri",4895,29,171
"Ralls County, Missouri",10243,29,173
"Randolph County, Missouri",25135,29,175
"Ray County, Missouri",23031,29,177
"Reynolds County, Missouri",6578,29,179
"Ripley County, Missouri",13990,29,181
"St. Charles County, Missouri",374805,29,183
"St. Clair County, Missouri",9520,29,185
"Ste. Genevieve County, Missouri",17990,29,186
"St. Francois County, Missouri",66010,29,187
"St. Louis County, Missouri",1001327,29,189
"Saline County, Missouri",23334,29,195
"Schuyler County, Missouri",4395,29,197
"Scotland County, Missouri",4873,29,199
"Scott County, Missouri",39061,29,201
"Shannon County, Missouri",8317,29,203
"Shelby County, Missouri",6179,29,205
"Stoddard County, Missouri",29837,29,207
"Stone County, Missouri",31375,29,209
"Sullivan County, Missouri",6512,29,211
"Taney County, Missouri",53555,29,213
"Texas County, Missouri",25735,29,215
"Vernon County, Missouri",20878,29,217
"Warren County, Missouri",33043,29,219
"Washington County, Missouri",25048,29,221
"Wayne County, Missouri",13397,29,223
"Webster County, Missouri",36690,29,225
"Worth County, Missouri",2082,29,227
"Wright County, Missouri",18449,29,229
"St. Louis city, Missouri",317850,29,510
"Beaverhead County, Montana",9291,30,001
"Big Horn County, Montana",13141,30,003
"Blaine County, Montana",6598,30,005
"Broadwater County, Montana",5692,30,007
"Carbon County, Montana",10268,30,009
"Carter County, Montana",1227,30,011
"Cascade County, Montana",82090,30,013
"Chouteau County, Montana",5855,30,015
"Custer County, Montana",11945,30,017
"Daniels County, Montana",1758,30,019
"Dawson County, Montana",9365,30,021
"Deer Lodge County, Montana",9211,30,023
"Fallon County, Montana",3057,30,025
"Fergus County, Montana",11468,30,027
"Flathead County, Montana",93333,30,029
"Gallatin County, Montana",95323,30,031
"Garfield County, Montana",1047,30,033
"Glacier County, Montana",13672,30,035
"Golden Valley County, Montana",756,30,037
"Granite County, Montana",3168,30,039
"Hill County, Montana",16523,30,041
"Jefferson County, Montana",11502,30,043
"East Carroll Parish, Louisiana",7501,22,035
"East Feliciana Parish, Louisiana",19855,22,037
"Evangeline Parish, Louisiana",33768,22,039
"Franklin Parish, Louisiana",20550,22,041
"Grant Parish, Louisiana",22362,22,043
"Iberia Parish, Louisiana",73938,22,045
"Iberville Parish, Louisiana",33229,22,047
"Jackson Parish, Louisiana",16109,22,049
"Jefferson Parish, Louisiana",435092,22,051
"Jefferson Davis Parish, Louisiana",31434,22,053
"Lafayette Parish, Louisiana",231811,22,055
"Lafourche Parish, Louisiana",97474,22,057
"LaSalle Parish, Louisiana",14899,22,059
"Lincoln Parish, Louisiana",47349,22,061
"Livingston Parish, Louisiana",133949,22,063
"Madison Parish, Louisiana",11873,22,065
"Morehouse Parish, Louisiana",27012,22,067
"Natchitoches Parish, Louisiana",39330,22,069
"Orleans Parish, Louisiana",376738,22,071
"Ouachita Parish, Louisiana",155769,22,073
"Plaquemines Parish, Louisiana",23599,22,075
"Pointe Coupee Parish, Louisiana",22498,22,077
"Rapides Parish, Louisiana",132225,22,079
"Red River Parish, Louisiana",8838,22,081
"Richland Parish, Louisiana",20777,22,083
"Sabine Parish, Louisiana",24248,22,085
"St. Bernard Parish, Louisiana",42858,22,087
"St. Charles Parish, Louisiana",52639,22,089
"St. Helena Parish, Louisiana",10818,22,091
"St. James Parish, Louisiana",21650,22,093
"St. John the Baptist Parish, Louisiana",44161,22,095
"St. Landry Parish, Louisiana",83613,22,097
"St. Martin Parish, Louisiana",53126,22,099
"St. Mary Parish, Louisiana",53441,22,101
"St. Tammany Parish, Louisiana",242960,22,103
"Tangipahoa Parish, Louisiana",125486,22,105
"Tensas Parish, Louisiana",4893,22,107
"Terrebonne Parish, Louisiana",112742,22,109
"Union Parish, Louisiana",22533,22,111
"Vermilion Parish, Louisiana",59110,22,113
"Vernon Parish, Louisiana",52476,22,115
"Washington Parish, Louisiana",46556,22,117
"Webster Parish, Louisiana",40617,22,119
"West Baton Rouge Parish, Louisiana",24669,22,121
"West Carroll Parish, Louisiana",11454,22,123
"West Feliciana Parish, Louisiana",15415,22,125
"Winn Parish, Louisiana",14855,22,127
"Androscoggin County, Maine",107393,23,001
"Aroostook County, Maine",70005,23,003
"Cumberland County, Maine",286119,23,005
"Franklin County, Maine",30402,23,007
"Hancock County, Maine",54658,23,009
"Kennebec County, Maine",121112,23,011
"Knox County, Maine",39723,23,013
"Lincoln County, Maine",34156,23,015
"Oxford County, Maine",57421,23,017
"Penobscot County, Maine",153437,23,019
"Piscataquis County, Maine",17156,23,021
"Sagadahoc County, Maine",35092,23,023
"Somerset County, Maine",51577,23,025
"Waldo County, Maine",38976,23,027
"Washington County, Maine",32191,23,029
"York County, Maine",199682,23,031
"Allegany County, Maryland",73549,24,001
"Anne Arundel County, Maryland",555280,24,003
"Baltimore County, Maryland",822959,24,005
"Calvert County, Maryland",90114,24,009
"Caroline County, Maryland",32661,24,011
"Carroll County, Maryland",167444,24,013
"Cecil County, Maryland",101960,24,015
"Charles County, Maryland",152754,24,017
"Dorchester County, Maryland",32534,24,019
"Frederick County, Maryland",241373,24,021
"Garrett County, Maryland",29813,24,023
"Harford County, Maryland",248966,24,025
"Howard County, Maryland",304115,24,027
"Kent County, Maryland",19923,24,029
"Montgomery County, Maryland",1017859,24,031
"Prince George's County, Maryland",892816,24,033
"Queen Anne's County, Maryland",48600,24,035
"St. Mary's County, Maryland",109614,24,037
"Somerset County, Maryland",25980,24,039
"Talbot County, Maryland",37799,24,041
"Washington County, Maryland",149270,24,043
"Wicomico County, Maryland",101182,24,045
"Worcester County, Maryland",51519,24,047
"Baltimore city, Maryland",622454,24,510
"Barnstable County, Massachusetts",214766,25,001
"Berkshire County, Massachusetts",129288,25,003
"Bristol County, Massachusetts",552763,25,005
"Dukes County, Massachusetts",17048,25,007
"Essex County, Massachusetts",763849,25,009
"Franklin County, Massachusetts",71144,25,011
"Hampden County, Massachusetts",468041,25,013
"Hampshire County, Massachusetts",160759,25,015
"Middlesex County, Massachusetts",1556116,25,017
"Nantucket County, Massachusetts",10556,25,019
"Norfolk County, Massachusetts",687721,25,021
"Plymouth County, Massachusetts",503681,25,023
"Suffolk County, Massachusetts",758919,25,025
"Worcester County, Massachusetts",810935,25,027
"Alcona County, Michigan",10550,26,001
"Alger County, Michigan",9476,26,003
"Allegan County, Michigan",112837,26,005
"Alpena County, Michigan",29068,26,007
"Antrim County, Michigan",23267,26,009
"Arenac County, Michigan",15424,26,011
"Baraga County, Michigan",8690,26,013
"Barry County, Michigan",59147,26,015
"Bay County, Michigan",106698,26,017
"Benzie County, Michigan",17437,26,019
"Berrien County, Michigan",155565,26,021
"Branch County, Michigan",43706,26,023
"Calhoun County, Michigan",134790,26,025
"Cass County, Michigan",51952,26,027
"Charlevoix County, Michigan",26134,26,029
"Cheboygan County, Michigan",25690,26,031
"Chippewa County, Michigan",38586,26,033
"Clare County, Michigan",30710,26,035
"Clinton County, Michigan",76905,26,037
"Crawford County, Michigan",13895,26,039
"Delta County, Michigan",36712,26,041
"Dickinson County, Michigan",26012,26,043
"Eaton County, Michigan",108341,26,045
"Emmet County, Michigan",33018,26,047
"Genesee County, Michigan",415874,26,049
"Gladwin County, Michigan",25501,26,051
"Gogebic County, Michigan",15824,26,053
"Grand Traverse County, Michigan",89907,26,055
"Gratiot County, Michigan",41878,26,057
"Hillsdale County, Michigan",46178,26,059
"Houghton County, Michigan",36660,26,061
"Huron County, Michigan",32290,26,063
"Ingham County, Michigan",283491,26,065
"Ionia County, Michigan",64064,26,067
"Iosco County, Michigan",25401,26,069
"Iron County, Michigan",11507,26,071
"Isabella County, Michigan",70669,26,073
"Jackson County, Michigan",159759,26,075
"Kalamazoo County, Michigan",256752,26,077
"Kalkaska County, Michigan",17230,26,079
"Kent County, Michigan",622590,26,081
"Keweenaw County, Michigan",2198,26,083
"Lake County, Michigan",11426,26,085
"Lapeer County, Michigan",88235,26,087
"Leelanau County, Michigan",21772,26,089
"Lenawee County, Michigan",98902,26,091
"Livingston County, Michigan",184591,26,093
"Luce County, Michigan",6477,26,095
"Mackinac County, Michigan",11044,26,097
"Macomb County, Michigan",854689,26,099
"Manistee County, Michigan",24536,26,101
"Marquette County, Michigan",67582,26,103
"Mason County, Michigan",28711,26,105
"Mecosta County, Michigan",43301,26,107
"Menominee County, Michigan",23717,26,109
"Midland County, Michigan",83624,26,111
"Missaukee County, Michigan",14988,26,113
"Monroe County, Michigan",150436,26,115
"Montcalm County, Michigan",63004,26,117
"Montmorency County, Michigan",9401,26,119
"Muskegon County, Michigan",171483,26,121
"Newaygo County, Michigan",48029,26,123
"Oakland County, Michigan",1229503,26,125
"Oceana County, Michigan",26229,26,127
"Ogemaw County, Michigan",21222,26,129
"Ontonagon County, Michigan",6298,26,131
"Osceola County, Michigan",23234,26,133
"Oscoda County, Michigan",8444,26,135
"Otsego County, Michigan",24141,26,137
"Ottawa County, Michigan",273136,26,139
"Presque Isle County, Michigan",13037,26,141
"Roscommon County, Michigan",24068,26,143
"Saginaw County, Michigan",196479,26,145
"St. Clair County, Michigan",160429,26,147
"St. Joseph County, Michigan",61022,26,149
"Sanilac County, Michigan",42014,26,151
"Schoolcraft County, Michigan",8288,26,153
"Shiawassee County, Michigan",69113,26,155
"Tuscola County, Michigan",54420,26,157
"Van Buren County, Michigan",75351,26,159
"Washtenaw County, Michigan",354092,26,161
"Wayne County, Michigan",1778969,26,163
"Wexford County, Michigan",32751,26,165
"Aitkin County, Minnesota",15839,27,001
"Anoka County, Minnesota",338764,27,003
"Becker County, Minnesota",33138,27,005
"Beltrami County, Minnesota",45434,27,007
"Benton County, Minnesota",39221,27,009
"Big Stone County, Minnesota",5134,27,011
"Blue Earth County, Minnesota",65125,27,013
"Brown County, Minnesota",25391,27,015
"Carlton County, Minnesota",35443,27,017
"Carver County, Minnesota",95715,27,019
"Cass County, Minnesota",28519,27,021
"Chippewa County, Minnesota",12154,27,023
"Chisago County, Minnesota",53834,27,025
"Clay County, Minnesota",60879,27,027
"Clearwater County, Minnesota",8752,27,029
"Cook County, Minnesota",5194,27,031
"Cottonwood County, Minnesota",11632,27,033
"Crow Wing County, Minnesota",63048,27,035
"Dakota County, Minnesota",408456,27,037
"Dodge County, Minnesota",20290,27,039
"Douglas County, Minnesota",36620,27,041
"Faribault County, Minnesota",14230,27,043
"Fillmore County, Minnesota",20843,27,045
"Freeborn County, Minnesota",30897,27,047
"Goodhue County, Minnesota",46377,27,049
"Grant County, Minnesota",5961,27,051
"Hennepin County, Minnesota",1197776,27,053
"Houston County, Minnesota",18812,27,055
"Hubbard County, Minnesota",20574,27,057
"Isanti County, Minnesota",38296,27,059
"Itasca County, Minnesota",45354,27,061
"Jackson County, Minnesota",10211,27,063
"Kanabec County, Minnesota",16003,27,065
"Kandiyohi County, Minnesota",42444,27,067
"Kittson County, Minnesota",4480,27,069
"Koochiching County, Minnesota",13054,27,071
"Lac qui Parle County, Minnesota",7023,27,073
"Lake County, Minnesota",10750,27,075
"Lake of the Woods County, Minnesota",3949,27,077
"Le Sueur County, Minnesota",27707,27,079
"Lincoln County, Minnesota",5808,27,081
"Lyon County, Minnesota",25699,27,083
"McLeod County, Minnesota",36046,27,085
"Mahnomen County, Minnesota",5496,27,087
"Marshall County, Minnesota",9453,27,089
"Martin County, Minnesota",20350,27,091
"Meeker County, Minnesota",23129,27,093
"Mille Lacs County, Minnesota",25809,27,095
"Morrison County, Minnesota",32962,27,097
"Mower County, Minnesota",39227,27,099
"Murray County, Minnesota",8529,27,101
"Nicollet County, Minnesota",33086,27,103
"Nobles County, Minnesota",21687,27,105
"Norman County, Minnesota",6692,27,107
"Olmsted County, Minnesota",148736,27,109
"Otter Tail County, Minnesota",57511,27,111
"Pennington County, Minnesota",14110,27,113
"Pine County, Minnesota",29218,27,115
"Pipestone County, Minnesota",9354,27,117
"Polk County, Minnesota",31547,27,119
"Pope County, Minnesota",10948,27,121
"Ramsey County, Minnesota",527411,27,123
"Red Lake County, Minnesota",4061,27,125
