NAME,B01003_001E,state,county
"Montgomery County, Arkansas",9197,05,097
"Nevada County, Arkansas",8793,05,099
"Newton County, Arkansas",8052,05,101
"Ouachita County, Arkansas",25044,05,103
"Perry County, Arkansas",10300,05,105
"Phillips County, Arkansas",20391,05,107
"Pike County, Arkansas",11087,05,109
"Poinsett County, Arkansas",24210,05,111
"Polk County, Arkansas",20364,05,113
"Pope County, Arkansas",62830,05,115
"Prairie County, Arkansas",8402,05,117
"Pulaski County, Arkansas",390463,05,119
"Randolph County, Arkansas",17695,05,121
"St. Francis County, Arkansas",27345,05,123
"Saline County, Arkansas",113833,05,125
"Scott County, Arkansas",10870,05,127
"Searcy County, Arkansas",7965,05,129
"Sebastian County, Arkansas",127273,05,131
"Sevier County, Arkansas",17268,05,133
"Sharp County, Arkansas",17055,05,135
"Stone County, Arkansas",12512,05,137
"Union County, Arkansas",40633,05,139
"Van Buren County, Arkansas",17002,05,141
"Washington County, Arkansas",216432,05,143
"White County, Arkansas",78660,05,145
"Woodruff County, Arkansas",6983,05,147
"Yell County, Arkansas",21835,05,149
"Alameda County, California",1584983,06,001
"Autauga County, Alabama",55221,01,001
"Baldwin County, Alabama",195121,01,003
"Barbour County, Alabama",26932,01,005
"Gallatin County, Illinois",5385,17,059
"Greene County, Illinois",13502,17,061
"Grundy County, Illinois",50277,17,063
"Hamilton County, Illinois",8322,17,065
"Hancock County, Illinois",18738,17,067
"Hardin County, Illinois",4228,17,069
"Henderson County, Illinois",7042,17,071
"Henry County, Illinois",49883,17,073
"Iroquois County, Illinois",29053,17,075
"Jackson County, Illinois",59534,17,077
"Jasper County, Illinois",9635,17,079
"Jefferson County, Illinois",38578,17,081
"Jersey County, Illinois",22625,17,083
"Jo Daviess County, Illinois",22397,17,085
"Johnson County, Illinois",12829,17,087
"Kane County, Illinois",524886,17,089
"Kankakee County, Illinois",112221,17,091
"Kendall County, Illinois",120036,17,093
"Knox County, Illinois",52112,17,095
"Lake County, Illinois",702898,17,097
"LaSalle County, Illinois",112579,17,099
"Lawrence County, Illinois",16665,17,101
"Lee County, Illinois",35027,17,103
"Livingston County, Illinois",37689,17,105
"Logan County, Illinois",29956,17,107
"McDonough County, Illinois",32009,17,109
"McHenry County, Illinois",307357,17,111
"McLean County, Illinois",173114,17,113
"Macon County, Illinois",109193,17,115
"Macoupin County, Illinois",46844,17,117
"Madison County, Illinois",267356,17,119
"Marion County, Illinois",38665,17,121
"Marshall County, Illinois",12173,17,123
"Mason County, Illinois",14126,17,125
"Massac County, Illinois",15016,17,127
"Menard County, Illinois",12611,17,129
"Mercer County, Illinois",16107,17,131
"Monroe County, Illinois",33539,17,133
"Montgomery County, Illinois",29348,17,135
"Morgan County, Illinois",35129,17,137
"Moultrie County, Illinois",14927,17,139
"Ogle County, Illinois",52397,17,141
"Peoria County, Illinois",187112,17,143
"Perry County, Illinois",21810,17,145
"Piatt County, Illinois",16495,17,147
"Pike County, Illinois",16144,17,149
"Pope County, Illinois",4331,17,151
"Pulaski County, Illinois",5871,17,153
"Putnam County, Illinois",5822,17,155
"Randolph County, Illinois",33069,17,157
"Richland County, Illinois",16127,17,159
"Rock Island County, Illinois",147161,17,161
"St. Clair County, Illinois",267029,17,163
"Saline County, Illinois",24783,17,165
"Sangamon County, Illinois",199016,17,167
"Schuyler County, Illinois",7311,17,169
"Scott County, Illinois",5198,17,171
"Shelby County, Illinois",22115,17,173
"Stark County, Illinois",5859,17,175
"Stephenson County, Illinois",46625,17,177
"Tazewell County, Illinois",135697,17,179
"Union County, Illinois",17551,17,181
"Alpine County, California",1131,06,003
"Amador County, California",36995,06,005
"Butte County, California",222564,06,007
"Calaveras County, California",44767,06,009
"Colusa County, California",21396,06,011
"Contra Costa County, California",1096068,06,013
"Del Norte County, California",27788,06,015
"El Dorado County, California",182093,06,017
"Fresno County, California",956749,06,019
"Glenn County, California",28029,06,021
"Humboldt County, California",135034,06,023
"Imperial County, California",178206,06,025
"Inyo County, California",18373,06,027
"Kern County, California",865736,06,029
"Kings County, California",150998,06,031
"Lake County, California",64158,06,033
"Lassen County, California",32645,06,035
"Los Angeles County, California",10038388,06,037
"Madera County, California",153187,06,039
"Marin County, California",258349,06,041
"Mariposa County, California",17789,06,043
"Mendocino County, California",87544,06,045
"Merced County, California",263885,06,047
"Modoc County, California",9184,06,049
"Mono County, California",14146,06,051
"Monterey County, California",428441,06,053
"Napa County, California",140295,06,055
"Nevada County, California",98570,06,057
"Orange County, California",3116069,06,059
"Placer County, California",366280,06,061
"Plumas County, California",18966,06,063
"Riverside County, California",2298032,06,065
"Sacramento County, California",1465832,06,067
"San Benito County, California",57557,06,069
"San Bernardino County, California",2094769,06,071
"San Diego County, California",3223096,06,073
"San Francisco County, California",840763,06,075
"San Joaquin County, California",708554,06,077
"San Luis Obispo County, California",276517,06,079
"San Mateo County, California",748731,06,081
"Santa Barbara County, California",435850,06,083
"Santa Clara County, California",1868149,06,085
"Santa Cruz County, California",269278,06,087
"Shasta County, California",178942,06,089
"Sierra County, California",3021,06,091
"Siskiyou County, California",43895,06,093
"Solano County, California",425753,06,095
"Sonoma County, California",495078,06,097
"Stanislaus County, California",527367,06,099
"Sutter County, California",95247,06,101
"Tehama County, California",63152,06,103
"Trinity County, California",13373,06,105
"Tulare County, California",454033,06,107
"Tuolumne County, California",54079,06,109
"Ventura County, California",840833,06,111
"Yolo County, California",207320,06,113
"Yuba County, California",73437,06,115
"Adams County, Colorado",471206,08,001
"Alamosa County, Colorado",16269,08,003
"Arapahoe County, Colorado",608310,08,005
"Archuleta County, Colorado",12174,08,007
"Baca County, Colorado",3701,08,009
"Bent County, Colorado",5895,08,011
"Boulder County, Colorado",310032,08,013
"Broomfield County, Colorado",60699,08,014
"Chaffee County, Colorado",18309,08,015
"Cheyenne County, Colorado",2002,08,017
"Clear Creek County, Colorado",9136,08,019
"Conejos County, Colorado",8249,08,021
"Costilla County, Colorado",3581,08,023
"Crowley County, Colorado",5551,08,025
"Custer County, Colorado",4303,08,027
"Delta County, Colorado",30214,08,029
"Denver County, Colorado",649654,08,031
"Dolores County, Colorado",1862,08,033
"Douglas County, Colorado",306974,08,035
"Eagle County, Colorado",52576,08,037
"Elbert County, Colorado",23855,08,039
"El Paso County, Colorado",655024,08,041
"Fremont County, Colorado",46809,08,043
"Garfield County, Colorado",57076,08,045
"Gilpin County, Colorado",5605,08,047
"Grand County, Colorado",14411,08,049
"Gunnison County, Colorado",15651,08,051
"Hinsdale County, Colorado",874,08,053
"Huerfano County, Colorado",6502,08,055
