,NAME,GEO_ID,2000,2010,2015
102,"Rockford city, Michigan",1600000US2669080,5719,5538,5956
103,"Capac village, Michigan",1600000US2613140,1890,2001,1909
104,"Emmett village, Michigan",1600000US2625940,269,329,299
105,"Fraser city, Michigan",1600000US2630420,14480,14739,14582
106,"Cadillac city, Michigan",1600000US2612320,10355,10384,10327
107,"Harrietta village, Michigan",1600000US2636720,143,113,134
108,"Caseville city, Michigan",1600000US2613760,,697,773
109,"Copemish village, Michigan",1600000US2618040,194,253,134
110,"Custer village, Michigan",1600000US2619420,284,243,281
111,"Ishpeming city, Michigan",1600000US2641220,6470,6501,6517
112,"Beaver Bay city, Minnesota",1600000US2704456,181,119,126
113,"Ada city, Minnesota",1600000US2700172,1707,1604,1681
114,"Perley city, Minnesota",1600000US2750506,92,112,92
115,"Hadley city, Minnesota",1600000US2726450,61,74,43
116,"Lake Wilson city, Minnesota",1600000US2735198,251,259,253
117,"Kenneth city, Minnesota",1600000US2732750,68,69,69
118,"Hazel Run city, Minnesota",1600000US2728016,63,53,24
119,"Elmore city, Minnesota",1600000US2718998,663,615,614
120,"Greenwald city, Minnesota",1600000US2725874,222,175,242
121,"Long Prairie city, Minnesota",1600000US2738060,3458,3417,3392
122,"Albany city, Minnesota",1600000US2700622,2561,2431,2618
123,"Eden Valley city, Minnesota",1600000US2718134,1042,923,957
124,"New Munich city, Minnesota",1600000US2745772,320,321,363
125,"Waite Park city, Minnesota",1600000US2767612,6715,6720,7429
126,"Calumet city, Minnesota",1600000US2709316,367,322,425
127,"Nashwauk city, Minnesota",1600000US2744980,983,1129,869
128,"Nimrod city, Minnesota",1600000US2746294,69,91,89
129,"Bloomington city, Minnesota",1600000US2706616,82893,82621,85826
130,"Vernon Center city, Minnesota",1600000US2766910,332,294,338
131,"Ghent city, Minnesota",1600000US2723660,370,395,344
132,"Taunton city, Minnesota",1600000US2764264,139,180,161
133,"Chokio city, Minnesota",1600000US2711440,400,443,379
134,"Marshall city, Minnesota",1600000US2740688,13680,13428,13608
135,"Thief River Falls city, Minnesota",1600000US2764570,8573,8554,8711
136,"Cromwell city, Minnesota",1600000US2713780,234,116,246
137,"Kettle River city, Minnesota",1600000US2732966,180,196,156
138,"Chaska city, Minnesota",1600000US2710972,23770,22993,24524
139,"Brownsville city, Minnesota",1600000US2708218,466,605,473
140,"Wilder city, Minnesota",1600000US2770258,60,87,45
141,"Spicer city, Minnesota",1600000US2761690,1167,1247,1294
142,"Waterville city, Minnesota",1600000US2768584,1868,1783,1731
143,"Crosslake city, Minnesota",1600000US2713978,2141,1806,2030
144,"Elkton city, Minnesota",1600000US2718728,141,129,111
145,"Gibbon city, Minnesota",1600000US2723678,772,825,825
146,"Green Isle city, Minnesota",1600000US2725658,559,319,555
147,"Winthrop city, Minnesota",1600000US2771122,1399,1304,1370
148,"Brooks city, Minnesota",1600000US2708038,141,157,120
149,"Litchfield city, Minnesota",1600000US2737448,6726,6747,6691
150,"St. Michael city, Minnesota",1600000US2757346,16399,15384,16911
151,"Borup city, Minnesota",1600000US2707030,110,100,83
152,"Rice Lake CDP, Minnesota",1600000US2754056,235,235,299
153,"Hill City city, Minnesota",1600000US2729096,633,596,554
154,"McGrath city, Minnesota",1600000US2738996,80,41,82
155,"Tamarack city, Minnesota",1600000US2764156,94,94,54
156,"Amboy city, Minnesota",1600000US2701324,534,582,520
157,"Eagle Lake city, Minnesota",1600000US2717378,2422,2423,2612
158,"Kerkhoven city, Minnesota",1600000US2732876,759,654,793
159,"Comstock city, Minnesota",1600000US2712862,93,114,124
160,"Johnson city, Minnesota",1600000US2732012,29,18,3
161,"Felton city, Minnesota",1600000US2720834,177,136,150
162,"Glyndon city, Minnesota",1600000US2724182,1394,1159,1446
163,"Hamburg city, Minnesota",1600000US2726666,513,604,471
164,"Mayer city, Minnesota",1600000US2741138,1749,1227,1754
165,"Watertown city, Minnesota",1600000US2768548,4205,4081,4257
166,"Georgetown city, Minnesota",1600000US2723498,129,234,113
167,"Moorhead city, Minnesota",1600000US2743864,38065,36721,40935
168,"Foley city, Minnesota",1600000US2721536,2603,2554,2636
169,"Clearbrook city, Minnesota",1600000US2711746,518,714,503
170,"Eagan city, Minnesota",1600000US2717288,64206,64494,65424
171,"Callaway city, Minnesota",1600000US2709280,234,249,207
172,"Lakeville city, Minnesota",1600000US2735180,55954,53984,58592
173,"Rosemount city, Minnesota",1600000US2755726,21874,20708,22741
174,"Negaunee city, Michigan",1600000US2656860,4568,4564,4609
175,"West Ishpeming CDP, Michigan",1600000US2685700,2662,2872,2873
176,"Ferrysburg city, Michigan",1600000US2627960,2892,2931,2955
177,"Grand Haven city, Michigan",1600000US2633340,10412,10640,10819
178,"Houghton Lake CDP, Michigan",1600000US2639400,3427,3390,3236
179,"Riverview city, Michigan",1600000US2668880,12486,12640,12266
180,"Taylor city, Michigan",1600000US2679000,63131,63833,62021
181,"Eaton Rapids city, Michigan",1600000US2624540,5214,5275,5221
182,"Coopersville city, Michigan",1600000US2618020,4275,4250,4329
183,"Centreville village, Michigan",1600000US2614460,1425,1428,1582
184,"Sturgis city, Michigan",1600000US2676960,10994,11104,10916
185,"Holland city, Michigan",1600000US2638640,33051,33708,33526
186,"Norton Shores city, Michigan",1600000US2659140,23994,23916,23982
187,"Harvey CDP, Michigan",1600000US2637080,1393,1488,1734
188,"Palmer CDP, Michigan",1600000US2662180,418,552,417
189,"St. Helen CDP, Michigan",1600000US2670800,2668,2706,2786
190,"Forestville village, Michigan",1600000US2629660,136,79,71
191,"Leslie city, Michigan",1600000US2647180,1851,1931,1720
192,"Okemos CDP, Michigan",1600000US2660340,21369,21025,22073
193,"Detroit Beach CDP, Michigan",1600000US2622040,2087,1770,2007
194,"Twin Lake CDP, Michigan",1600000US2681040,1720,1782,1928
195,"Spring Lake village, Michigan",1600000US2675820,2323,2410,2438
196,"Posen village, Michigan",1600000US2666000,234,255,222
197,"Westland city, Michigan",1600000US2686000,84094,84832,82642
