,NAME,GEO_ID,2000,2010,2015
2673,"Napier Field town, Alabama",1600000US0153256,354,358,414
2674,"Fairview town, Alabama",1600000US0125384,446,440,483
2675,"Vredenburgh town, Alabama",1600000US0179272,312,199,154
2676,"Scottsboro city, Alabama",1600000US0168736,14770,14795,14775
2677,"Eufaula city, Alabama",1600000US0124568,13137,13228,12809
2678,"Warrior city, Alabama",1600000US0179944,3176,3184,3191
2679,"Double Springs town, Alabama",1600000US0121280,1083,1961,1180
2680,"Natural Bridge town, Alabama",1600000US0153376,37,86,43
2681,"Selmont-West Selmont CDP, Alabama",1600000US0169180,2671,3316,2574
2682,"North Courtland town, Alabama",1600000US0155044,632,457,710
2683,"Margaret town, Alabama",1600000US0146696,4428,3871,4487
2684,"Killen town, Alabama",1600000US0139784,1108,1384,1177
2685,"McIntosh town, Alabama",1600000US0145472,238,321,422
2686,"Muscle Shoals city, Alabama",1600000US0153016,13146,12986,13492
2687,"Forkland town, Alabama",1600000US0127376,649,453,767
2688,"Albertville city, Alabama",1600000US0100988,21160,20445,21406
2689,"Hartford city, Alabama",1600000US0133424,2624,2581,2645
2690,"Gilbertown town, Alabama",1600000US0129704,215,190,191
2691,"Alexander City city, Alabama",1600000US0101132,14875,14879,14787
2692,"New Site town, Alabama",1600000US0154432,773,897,767
2693,"Holly Pond town, Alabama",1600000US0135560,798,949,1084
2694,"Hollywood town, Alabama",1600000US0135632,1000,1059,971
2695,"Emelle town, Alabama",1600000US0123872,53,7,38
2696,"Woodville town, Alabama",1600000US0183664,746,866,763
2697,"Montevallo city, Alabama",1600000US0150312,6323,6101,6549
2698,"Myrtlewood town, Alabama",1600000US0153112,130,144,157
2699,"Chatom town, Alabama",1600000US0114008,1288,1657,1006
2700,"Millry town, Alabama",1600000US0148832,546,695,565
2701,"Millport town, Alabama",1600000US0148808,1049,858,1070
2702,"Sulligent city, Alabama",1600000US0173728,1927,1703,1956
2703,"Anderson town, Alabama",1600000US0101756,282,354,253
2704,"Hackleburg town, Alabama",1600000US0132560,1516,1824,1444
2705,"Hoonah city, Alaska",1600000US0233360,760,678,821
2706,"Patmos town, Arkansas",1600000US0553900,64,67,82
2707,"Conway city, Arkansas",1600000US0515190,58908,56255,63555
2708,"Twin Groves town, Arkansas",1600000US0570540,335,619,385
2709,"Lamar city, Arkansas",1600000US0538290,1605,2212,1748
2710,"Flippin city, Arkansas",1600000US0524010,1355,1638,1516
2711,"Yellville city, Arkansas",1600000US0577330,1204,1427,1180
2712,"Etowah town, Arkansas",1600000US0522120,351,213,321
2713,"Keiser city, Arkansas",1600000US0536310,759,802,600
2714,"Victoria town, Arkansas",1600000US0571900,37,59,48
2715,"Redfield city, Arkansas",1600000US0558580,1297,1043,1598
2716,"Gould city, Arkansas",1600000US0527730,837,1371,764
2717,"Star City city, Arkansas",1600000US0566440,2274,2928,2362
2718,"Alicia town, Arkansas",1600000US0500700,124,167,142
2719,"Powhatan town, Arkansas",1600000US0557050,72,100,76
2720,"Morrison Bluff town, Arkansas",1600000US0547030,64,105,55
2721,"Salem CDP, Arkansas",1600000US0562210,2607,2671,2621
2722,"Midland town, Arkansas",1600000US0545500,325,341,398
2723,"Oden town, Arkansas",1600000US0551290,232,313,240
2724,"Allport town, Arkansas",1600000US0500940,115,298,228
2725,"Central City town, Arkansas",1600000US0513120,502,554,522
2726,"Hartford city, Arkansas",1600000US0530490,642,825,498
2727,"Mansfield city, Arkansas",1600000US0543880,1139,1195,1235
2728,"Felsenthal town, Arkansas",1600000US0523320,150,110,69
2729,"Thornton city, Arkansas",1600000US0569050,407,348,592
2730,"Dermott city, Arkansas",1600000US0518520,2316,2354,2787
2731,"Fountain Hill town, Arkansas",1600000US0524670,175,146,93
2732,"Hamburg city, Arkansas",1600000US0529500,2857,2881,2819
2733,"Ulm town, Arkansas",1600000US0570760,170,258,213
2734,"Garner town, Arkansas",1600000US0525900,284,219,179
2735,"Georgetown town, Arkansas",1600000US0526440,124,95,83
2736,"Rose Bud town, Arkansas",1600000US0560770,482,509,498
2737,"Gurdon city, Arkansas",1600000US0529200,2212,2613,2206
2738,"Higden town, Arkansas",1600000US0532080,120,146,137
2739,"Carthage city, Arkansas",1600000US0511830,343,355,536
2740,"Magness town, Arkansas",1600000US0543370,202,78,215
2741,"Piggott city, Arkansas",1600000US0555130,3849,3844,3713
2742,"Success town, Arkansas",1600000US0567550,149,141,119
2743,"Garland town, Arkansas",1600000US0525780,242,309,321
2744,"Whelen Springs town, Arkansas",1600000US0574930,92,97,53
2745,"Altheimer city, Arkansas",1600000US0501150,984,1216,957
2746,"White Hall city, Arkansas",1600000US0575170,5526,5394,5319
2747,"Minturn town, Arkansas",1600000US0546100,109,143,66
2748,"North Little Rock city, Arkansas",1600000US0550450,62304,61698,65538
2749,"Sweet Home CDP, Arkansas",1600000US0568330,849,736,579
2750,"Sattley CDP, California",1600000US0670336,49,22,40
2751,"Scotia CDP, California",1600000US0670518,850,652,814
2752,"Seacliff CDP, California",1600000US0670644,3267,2990,3256
2753,"Sea Ranch CDP, California",1600000US0670712,1305,801,1068
2754,"Sequoia Crest CDP, California",1600000US0670966,10,0,27
2755,"Sereno del Mar CDP, California",1600000US0671000,126,123,42
2756,"Seville CDP, California",1600000US0671078,480,646,545
2757,"San Diego Country Estates CDP, California",1600000US0666004,10109,10657,10215
2758,"Anaheim city, California",1600000US0602000,336265,333039,345578
2759,"Fullerton city, California",1600000US0628000,135161,132872,138976
2760,"Brea city, California",1600000US0608100,39282,38427,40931
2761,"Cypress city, California",1600000US0617750,47802,47314,49008
2762,"Dana Point city, California",1600000US0617946,33351,33484,34003
2763,"Huntington Beach city, California",1600000US0636000,189992,188914,197752
2764,"Ridgeville town, Alabama",1600000US0164656,112,221,117
2765,"Cullman city, Alabama",1600000US0118976,14775,14685,15014
2766,"Ragland town, Alabama",1600000US0163216,1639,2192,1802
2767,"Enterprise city, Alabama",1600000US0124184,26562,25285,27785
2768,"Ranburne town, Alabama",1600000US0163408,409,548,441
2769,"Troy city, Alabama",1600000US0176920,18033,17207,18696
2770,"Crossville town, Alabama",1600000US0118856,1862,1770,2312
2771,"Grimes town, Alabama",1600000US0132056,558,421,570
2772,"Coosada town, Alabama",1600000US0117176,1224,1342,1374
2773,"Calera city, Alabama",1600000US0111416,11620,10374,12593
2774,"Talladega Springs town, Alabama",1600000US0174616,166,130,224
2775,"Pickensville town, Alabama",1600000US0159592,608,667,661
2776,"Dadeville city, Alabama",1600000US0119336,3230,3217,3181
2777,"Loachapoka town, Alabama",1600000US0143744,180,235,217
2778,"Vernon city, Alabama",1600000US0178480,2000,2327,2202
2779,"Red Bay city, Alabama",1600000US0163576,3158,3164,3143
2780,"Union town, Alabama",1600000US0177616,237,273,269
2781,"Pennington town, Alabama",1600000US0158968,221,201,218
2782,"Samson city, Alabama",1600000US0167800,1940,2051,2103
2783,"Mount Vernon town, Alabama",1600000US0152608,1574,1381,1482
2784,"Gadsden city, Alabama",1600000US0128696,36856,37162,36455
2785,"Creola city, Alabama",1600000US0118304,1926,1851,1842
2786,"Ashford town, Alabama",1600000US0102836,2148,1931,2316
2787,"Ashland town, Alabama",1600000US0102860,2037,2637,2667
2788,"Ashville city, Alabama",1600000US0102908,2212,2053,2342
2789,"Butler town, Alabama",1600000US0111032,1894,1796,2360
2790,"Camden city, Alabama",1600000US0111512,2020,2224,2721
2791,"Chelsea city, Alabama",1600000US0114104,10183,9202,11386
2792,"Clio city, Alabama",1600000US0115640,1399,2343,856
2793,"Coaling town, Alabama",1600000US0116000,1657,2101,1808
2794,"Morrison Crossroads CDP, Alabama",1600000US0151469,219,,190
2795,"Joppa CDP, Alabama",1600000US0139064,501,,263
2796,"Midway town, Alabama",1600000US0148424,499,726,583
2797,"Lakeview town, Alabama",1600000US0140888,143,107,133
2798,"Bon Air town, Alabama",1600000US0108248,116,140,103
2799,"Waldo town, Alabama",1600000US0179488,283,265,246
2800,"Newton town, Alabama",1600000US0154480,1511,1643,1709
2801,"Coffee Springs town, Alabama",1600000US0116240,228,257,264
2802,"Sardis City town, Alabama",1600000US0168280,1704,1625,1654
2803,"White Hall town, Alabama",1600000US0181912,858,823,832
2804,"Mulga town, Alabama",1600000US0152776,836,682,922
2805,"Monroeville city, Alabama",1600000US0150192,6519,6589,6265
2806,"Minor CDP, Alabama",1600000US0149072,1094,1038,1334
2807,"Tarrant city, Alabama",1600000US0174976,6397,6524,6278
2808,"Stevens Village CDP, Alaska",1600000US0273290,78,69,25
2809,"Evansville CDP, Alaska",1600000US0223790,15,24,16
2810,"Four Mile Road CDP, Alaska",1600000US0226835,43,43,10
2811,"Kaltag city, Alaska",1600000US0237430,190,168,192
2812,"Koliganek CDP, Alaska",1600000US0241500,209,236,129
2813,"Ruby city, Alaska",1600000US0265590,166,235,202
2814,"Akutan city, Alaska",1600000US0201090,1027,1596,899
2815,"Aniak city, Alaska",1600000US0203550,501,531,525
2816,"Kasigluk CDP, Alaska",1600000US0237975,569,518,599
2817,"Kongiganak CDP, Alaska",1600000US0241610,439,394,408
2818,"Mekoryuk city, Alaska",1600000US0247990,191,201,174
2819,"Tuluksak CDP, Alaska",1600000US0278790,373,525,436
2820,"Point MacKenzie CDP, Alaska",1600000US0261788,529,230,466
2821,"Alatna CDP, Alaska",1600000US0201305,37,10,1
2822,"Levelock CDP, Alaska",1600000US0243810,69,193,114
2823,"Iliamna CDP, Alaska",1600000US0235120,109,81,78
2824,"Ivanof Bay CDP, Alaska",1600000US0235890,7,0,0
2825,"Perryville CDP, Alaska",1600000US0260200,113,100,98
2826,"Pope-Vannoy Landing CDP, Alaska",1600000US0262125,6,1,0
2827,"Tetlin CDP, Alaska",1600000US0276590,127,96,121
2828,"Mosquito Lake CDP, Alaska",1600000US0250800,309,136,126
2829,"Craig city, Alaska",1600000US0217740,1201,1341,1231
2830,"Chignik Lake CDP, Alaska",1600000US0213780,73,93,70
2831,"Newhalen city, Alaska",1600000US0253270,190,167,159
2832,"Pedro Bay CDP, Alaska",1600000US0259540,42,35,12
2833,"Pilot Point city, Alaska",1600000US0260640,68,44,53
2834,"Eagle city, Alaska",1600000US0220380,86,51,89
2835,"Northway Junction CDP, Alaska",1600000US0256250,54,0,64
2836,"Northway Village CDP, Alaska",1600000US0256260,98,90,92
2837,"Tanacross CDP, Alaska",1600000US0275050,136,118,127
2838,"Juneau city and borough, Alaska",1600000US0236400,31275,30975,32531
2839,"Kenny Lake CDP, Alaska",1600000US0238910,355,195,128
2840,"Tyonek CDP, Alaska",1600000US0279890,171,209,214
2841,"Cordova city, Alaska",1600000US0217410,2239,2491,2621
2842,"Gakona CDP, Alaska",1600000US0227420,218,194,205
2843,"Tolsona CDP, Alaska",1600000US0278297,30,0,0
2844,"Valdez city, Alaska",1600000US0282200,3976,3936,3979
2845,"Klukwan CDP, Alaska",1600000US0240510,95,141,66
2846,"Gambell city, Alaska",1600000US0227640,681,613,718
2847,"Golovin city, Alaska",1600000US0229180,156,117,132
2848,"Karluk CDP, Alaska",1600000US0237540,37,58,44
2849,"Klawock city, Alaska",1600000US0240400,755,649,792
2850,"Metlakatla CDP, Alaska",1600000US0248870,1405,1427,1661
2851,"Port Protection CDP, Alaska",1600000US0263870,48,49,82
2852,"South Naknek CDP, Alaska",1600000US0272190,79,91,63
2853,"Ketchikan city, Alaska",1600000US0238970,8050,7994,8197
2854,"Coffman Cove city, Alaska",1600000US0216360,176,58,150
2855,"Excursion Inlet CDP, Alaska",1600000US0223900,12,0,40
2856,"Mud Bay CDP, Alaska",1600000US0251455,212,96,167
2857,"Nikolski CDP, Alaska",1600000US0254260,18,20,37
2858,"Chignik Lagoon CDP, Alaska",1600000US0213670,78,83,73
2859,"Shasta CDP, California",1600000US0671218,1771,1572,1669
2860,"Shell Ridge CDP, California",1600000US0671362,959,1381,1039
2861,"Shelter Cove CDP, California",1600000US0671372,693,524,412
2862,"Sheridan CDP, California",1600000US0671414,1238,1615,1567
2863,"Hercules city, California",1600000US0633308,24060,23061,24838
2864,"Oakley city, California",1600000US0653070,35432,33496,38243
2865,"Rodeo CDP, California",1600000US0662490,8679,9127,9724
2866,"Coalinga city, California",1600000US0614274,13380,13086,16940
2867,"Fresno city, California",1600000US0627000,494665,484008,510451
2868,"West Sacramento city, California",1600000US0684816,48744,45961,50747
2869,"Interlaken CDP, California",1600000US0636613,7321,6810,6817
2870,"Live Oak CDP, California",1600000US0641922,17158,16439,18038
2871,"Rio del Mar CDP, California",1600000US0660928,9216,9422,8964
2872,"Nipomo CDP, California",1600000US0651476,16714,16179,16727
2873,"Oceanside city, California",1600000US0653322,167086,164709,173050
2874,"Markleeville CDP, California",1600000US0645988,210,274,205
2875,"Morro Bay city, California",1600000US0649362,10234,10255,10471
2876,"Fort Jones city, California",1600000US0625128,839,520,978
2877,"Valinda CDP, California",1600000US0681638,22822,22157,24026
2878,"La Mirada city, California",1600000US0640032,48527,48174,49182
2879,"La Verne city, California",1600000US0640830,31063,31177,31920
2880,"Lawndale city, California",1600000US0640886,32769,32552,33231
2881,"Littlerock CDP, California",1600000US0641880,1377,1063,2228
2882,"Marina del Rey CDP, California",1600000US0645806,8866,9196,9289
2883,"San Dimas city, California",1600000US0666070,33371,33635,34073
2884,"San Gabriel city, California",1600000US0667042,39718,39670,40198
2885,"Alameda city, California",1600000US0600562,73812,72512,76733
2886,"Albany city, California",1600000US0600674,18539,17921,19249
2887,"Lynwood city, California",1600000US0644574,69772,69806,71191
2888,"Fairview CDP, California",1600000US0623350,10003,9812,10568
2889,"San Lorenzo CDP, California",1600000US0668112,23452,23562,24891
2890,"Wofford Heights CDP, California",1600000US0686174,2200,2497,1684
2891,"East Hemet CDP, California",1600000US0620697,17418,19962,19180
2892,"Homeland CDP, California",1600000US0634316,5969,7004,6038
2893,"Valle Vista CDP, California",1600000US0681708,14578,13957,16127
2894,"Bay Point CDP, California",1600000US0604415,21349,21197,22473
2895,"Crockett CDP, California",1600000US0617274,3094,3298,3044
2896,"El Cerrito city, California",1600000US0621796,23549,23320,24418
2897,"Pinole city, California",1600000US0657288,18390,18461,18922
2898,"Rollingwood CDP, California",1600000US0662700,2969,2935,2847
2899,"Ojai city, California",1600000US0653476,7461,7525,7587
2900,"Port Hueneme city, California",1600000US0658296,21723,21723,22058
2901,"Santa Paula city, California",1600000US0670042,29321,29145,30246
2902,"Inverness CDP, California",1600000US0636616,1304,1380,1089
2903,"Point Reyes Station CDP, California",1600000US0657960,848,831,600
2904,"Lake Almanor West CDP, California",1600000US0639425,270,363,239
2905,"Portola city, California",1600000US0658352,2104,3042,2454
2906,"Storrie CDP, California",1600000US0675168,4,0,0
2907,"Twain CDP, California",1600000US0680952,82,67,31
2908,"Livingston city, California",1600000US0642006,13058,12733,13611
2909,"Audubon city, Iowa",1600000US1903655,2176,2177,2054
2910,"Waukon city, Iowa",1600000US1982740,3897,3931,3818
2911,"Deloit city, Iowa",1600000US1919765,264,279,395
2912,"Schleswig city, Iowa",1600000US1971130,882,842,808
2913,"Lone Tree city, Iowa",1600000US1946335,1300,1333,1374
2914,"Hamilton city, Iowa",1600000US1933870,130,77,183
2915,"Clio city, Iowa",1600000US1914475,80,120,114
2916,"Grinnell city, Iowa",1600000US1933105,9218,9265,9132
2917,"Graettinger city, Iowa",1600000US1931800,844,1027,702
2918,"West Bend city, Iowa",1600000US1983550,785,669,890
2919,"Roland city, Iowa",1600000US1968475,1284,1349,1398
2920,"Clearfield city, Iowa",1600000US1913980,363,400,378
2921,"Redding city, Iowa",1600000US1966000,82,143,61
2922,"Huxley city, Iowa",1600000US1937920,3317,3132,3430
2923,"Walnut city, Iowa",1600000US1982065,785,851,688
2924,"Andrew city, Iowa",1600000US1902125,434,381,441
2925,"Quimby city, Iowa",1600000US1965280,319,322,376
2926,"Galva city, Iowa",1600000US1929595,434,403,519
2927,"Ida Grove city, Iowa",1600000US1938010,2142,2158,2199
2928,"Lacona city, Iowa",1600000US1942285,361,352,446
2929,"Spillville city, Iowa",1600000US1974370,367,287,409
2930,"Scarville city, Iowa",1600000US1971040,72,112,63
2931,"Castalia city, Iowa",1600000US1911485,173,162,170
2932,"Ridgeway city, Iowa",1600000US1967035,315,399,283
2933,"Auburn city, Iowa",1600000US1903610,322,212,278
2934,"Odebolt city, Iowa",1600000US1958575,1013,1291,1090
2935,"Wall Lake city, Iowa",1600000US1982020,819,805,664
2936,"Eddyville city, Iowa",1600000US1923970,1024,898,1333
2937,"Holy Cross city, Iowa",1600000US1936885,374,357,376
2938,"New Vienna city, Iowa",1600000US1956550,407,369,393
2939,"Battle Creek city, Iowa",1600000US1904870,713,740,701
2940,"Winthrop city, Iowa",1600000US1986565,850,905,922
2941,"Marathon city, Iowa",1600000US1949260,237,246,276
2942,"Garber city, Iowa",1600000US1929685,88,94,141
2943,"Marquette city, Iowa",1600000US1949620,375,333,399
2944,"Osterdock city, Iowa",1600000US1960015,59,66,68
2945,"Granger city, Iowa",1600000US1932160,1244,1035,1587
2946,"Waukee city, Iowa",1600000US1982695,13790,12305,16956
2947,"Breda city, Iowa",1600000US1908290,483,417,478
2948,"Willey city, Iowa",1600000US1985710,88,83,108
2949,"Berkley city, Iowa",1600000US1906040,32,27,22
2950,"Luther city, Iowa",1600000US1947280,122,118,161
2951,"Ionia city, Iowa",1600000US1938460,291,306,351
2952,"Alta Vista city, Iowa",1600000US1901540,266,310,288
2953,"Lake Park city, Iowa",1600000US1942600,1105,1115,1112
2954,"Menlo city, Iowa",1600000US1951105,353,412,410
2955,"Wayland city, Iowa",1600000US1982965,966,903,1133
2956,"Mount Vernon city, Iowa",1600000US1954840,4506,4375,4523
2957,"Palo city, Iowa",1600000US1961230,1026,912,1050
2958,"New London city, Iowa",1600000US1956325,1897,1760,1819
2959,"Olds city, Iowa",1600000US1958890,229,215,200
2960,"Chaplin CDP, Kentucky",1600000US2114266,418,353,259
2961,"Coldiron CDP, Kentucky",1600000US2116354,223,230,137
2962,"Crayne CDP, Kentucky",1600000US2118190,173,116,144
2963,"Dexter CDP, Kentucky",1600000US2121322,277,311,364
2964,"Diablock CDP, Kentucky",1600000US2121358,453,614,334
2965,"Doe Valley CDP, Kentucky",1600000US2121844,1931,1540,1601
2966,"Annville CDP, Kentucky",1600000US2101648,1095,1800,694
2967,"Elk Creek CDP, Kentucky",1600000US2124328,1539,,1603
2968,"Dunmor CDP, Kentucky",1600000US2123014,317,,319
2969,"Glidden city, Iowa",1600000US1931395,1146,1132,1336
2970,"Manning city, Iowa",1600000US1948945,1500,1713,1558
2971,"Templeton city, Iowa",1600000US1977340,362,370,368
2972,"Bloomfield city, Iowa",1600000US1907030,2640,2630,2615
2973,"Griswold city, Iowa",1600000US1933150,1036,975,1111
2974,"Everly city, Iowa",1600000US1926175,603,632,564
2975,"Royal city, Iowa",1600000US1969105,446,601,429
2976,"Nodaway city, Iowa",1600000US1956865,114,105,122
2977,"Pomeroy city, Iowa",1600000US1964065,662,622,835
2978,"Rockwell City city, Iowa",1600000US1968295,1709,2357,2155
2979,"Sioux Rapids city, Iowa",1600000US1973425,775,812,663
2980,"Guttenberg city, Iowa",1600000US1933465,1919,1784,1823
2981,"Bouton city, Iowa",1600000US1907660,129,86,190
2982,"Greene city, Iowa",1600000US1932745,1130,1177,1194
2983,"Plainfield city, Iowa",1600000US1963210,436,502,428
2984,"Tripoli city, Iowa",1600000US1978915,1313,1301,1350
2985,"Woodward city, Iowa",1600000US1986970,1024,1165,1623
2986,"Mystic city, Iowa",1600000US1955200,425,527,410
2987,"Carroll city, Iowa",1600000US1911080,10103,10047,10020
2988,"Lidderdale city, Iowa",1600000US1945030,180,158,139
2989,"Postville city, Iowa",1600000US1964290,2227,1996,2281
2990,"Brandon city, Iowa",1600000US1908155,309,298,312
2991,"Rowley city, Iowa",1600000US1969060,264,278,316
2992,"New Providence city, Iowa",1600000US1956415,228,316,226
2993,"Owasa city, Iowa",1600000US1960555,43,11,53
2994,"George city, Iowa",1600000US1930225,1080,1293,1065
2995,"Havelock city, Iowa",1600000US1935130,138,208,152
2996,"Davis City city, Iowa",1600000US1919090,204,195,252
2997,"Grand River city, Iowa",1600000US1932070,236,392,247
2998,"Jewell Junction city, Iowa",1600000US1939675,1215,1006,1281
2999,"Pilot Mound city, Iowa",1600000US1962850,173,176,174
3000,"Superior city, Iowa",1600000US1976440,130,168,184
3001,"West Okoboji city, Iowa",1600000US1984450,289,447,290
3002,"Bayard city, Iowa",1600000US1904960,471,371,470
3003,"Guthrie Center city, Iowa",1600000US1933420,1569,1562,1715
3004,"Winterset city, Iowa",1600000US1986520,5190,5138,5159
3005,"Coin city, Iowa",1600000US1914970,193,253,213
3006,"Essex city, Iowa",1600000US1925815,798,886,924
3007,"Lake City city, Iowa",1600000US1942465,1727,1682,1766
3008,"Yetter city, Iowa",1600000US1987375,34,15,25
3009,"Belmond city, Iowa",1600000US1905680,2376,2287,2438
3010,"Woolstock city, Iowa",1600000US1987015,168,140,195
3011,"Waverly city, Iowa",1600000US1982875,9874,9754,10013
3012,"Dexter city, Iowa",1600000US1921225,611,601,911
3013,"Pulaski city, Iowa",1600000US1965055,260,258,258
3014,"Earlham city, Iowa",1600000US1923340,1450,1845,1752
3015,"Lost Nation city, Iowa",1600000US1946605,446,455,506
3016,"Lockridge city, Iowa",1600000US1946065,268,300,272
3017,"Derby city, Iowa",1600000US1920125,115,125,132
3018,"Bevington city, Iowa",1600000US1906490,63,27,43
3019,"Decorah city, Iowa",1600000US1919405,8127,8115,8009
3020,"Early city, Iowa",1600000US1923475,557,628,683
3021,"Mount Auburn city, Iowa",1600000US1954435,150,134,100
3022,"Jolley city, Iowa",1600000US1939900,41,20,37
3023,"Defiance city, Iowa",1600000US1919585,284,270,228
3024,"Earling city, Iowa",1600000US1923385,437,687,476
3025,"Elk Horn city, Iowa",1600000US1924780,662,501,543
3026,"Portsmouth city, Iowa",1600000US1964200,195,259,154
3027,"Sioux Center city, Iowa",1600000US1973290,7048,6916,7312
3028,"Napoleonville village, Louisiana",1600000US2253370,660,672,653
3029,"Benton town, Louisiana",1600000US2206925,1948,1860,1864
3030,"Gilbert village, Louisiana",1600000US2228940,521,402,427
3031,"Mound village, Louisiana",1600000US2252565,19,36,14
3032,"Cambridge city, Maryland",1600000US2412400,12326,12109,12534
3033,"Lonaconing town, Maryland",1600000US2447875,1214,1305,1088
3034,"Westernport town, Maryland",1600000US2482750,1888,2093,2059
3035,"Elkton town, Maryland",1600000US2425800,15443,15029,15718
3036,"Bowie city, Maryland",1600000US2408775,54727,54314,56885
3037,"Columbia CDP, Maryland",1600000US2419125,99615,98379,103055
3038,"Rock Hall town, Maryland",1600000US2467400,1310,1243,1157
3039,"Pleasant Hills CDP, Maryland",1600000US2462175,3379,3561,3555
3040,"Baltimore city, Maryland",1600000US2404000,620961,620538,622454
3041,"Fruitland city, Maryland",1600000US2430950,4866,4704,5110
3042,"Dundalk CDP, Maryland",1600000US2423975,63597,62444,62349
3043,"Owings Mills CDP, Maryland",1600000US2459425,30622,29734,33732
3044,"Randallstown CDP, Maryland",1600000US2464950,32430,32570,34088
3045,"Barnesville town, Maryland",1600000US2404475,172,138,164
3046,"Burtonsville CDP, Maryland",1600000US2411750,8323,9233,9488
3047,"Fairland CDP, Maryland",1600000US2427250,23681,23086,23673
3048,"North Chevy Chase village, Maryland",1600000US2456400,519,560,486
3049,"Hillsboro town, Maryland",1600000US2439175,161,111,105
3050,"Sharptown town, Maryland",1600000US2471650,651,865,959
3051,"Bladensburg town, Maryland",1600000US2407850,9148,8918,9461
3052,"Landover Hills town, Maryland",1600000US2445400,1687,1876,1903
3053,"Marlow Heights CDP, Maryland",1600000US2450750,5618,6344,5676
3054,"Marlton CDP, Maryland",1600000US2450775,9031,9012,9391
3055,"Temple Hills CDP, Maryland",1600000US2477100,7852,7639,8023
3056,"Chester CDP, Maryland",1600000US2416125,4167,4142,4952
3057,"Church Hill town, Maryland",1600000US2417100,745,551,858
3058,"Fairmount CDP, Maryland",1600000US2427375,457,492,272
3059,"Laurel city, Maryland",1600000US2445900,25115,24433,25849
3060,"Hillcrest Heights CDP, Maryland",1600000US2438975,16469,15910,15383
3061,"Largo CDP, Maryland",1600000US2445825,10709,11012,11015
3062,"West Laurel CDP, Maryland",1600000US2483025,4230,4741,4388
3063,"Millington town, Maryland",1600000US2452825,642,597,620
3064,"Queenstown town, Maryland",1600000US2464600,664,690,620
3065,"Crisfield city, Maryland",1600000US2420775,2726,2756,2685
3066,"Eden CDP, Maryland",1600000US2424850,823,839,670
3067,"Mount Vernon CDP, Maryland",1600000US2454375,779,799,810
3068,"West Pocomoke CDP, Maryland",1600000US2483337,454,447,473
3069,"Federalsburg town, Maryland",1600000US2427900,2739,2755,2676
3070,"Greensboro town, Maryland",1600000US2435200,1931,2455,2020
3071,"Ridgely town, Maryland",1600000US2466000,1639,2257,1379
3072,"Owings CDP, Maryland",1600000US2459375,2149,2242,2638
3073,"Andrews AFB CDP, Maryland",1600000US2401450,2973,2719,3226
3074,"Beltsville CDP, Maryland",1600000US2406400,16772,15444,18306
3075,"Capitol Heights town, Maryland",1600000US2413000,4337,4298,4482
3076,"College Park city, Maryland",1600000US2418750,30413,29596,31730
3077,"East Riverdale CDP, Maryland",1600000US2424650,15509,15669,16242
3078,"Kettering CDP, Maryland",1600000US2443900,12790,12545,13195
3079,"Mitchellville CDP, Maryland",1600000US2452975,10967,11653,10475
3080,"Weymouth Town city, Massachusetts",1600000US2578972,53743,53342,55304
3081,"Winthrop Town city, Massachusetts",1600000US2581005,17497,17311,17962
3082,"Belchertown CDP, Massachusetts",1600000US2504790,2899,2395,3289
3083,"Needham CDP, Massachusetts",1600000US2544140,28886,28683,29853
3084,"Quincy city, Massachusetts",1600000US2555745,92271,90780,93177
3085,"Atlanta city, Kansas",1600000US2003050,195,322,225
3086,"Freeport city, Kansas",1600000US2024725,5,0,0
3087,"Waldron city, Kansas",1600000US2074625,11,17,16
3088,"Hillsboro city, Kansas",1600000US2032275,2993,2958,2916
3089,"La Crosse city, Kansas",1600000US2037500,1342,1339,1295
3090,"Otis city, Kansas",1600000US2053525,282,274,334
3091,"Olivet city, Kansas",1600000US2052700,67,49,84
3092,"Quenemo city, Kansas",1600000US2058100,388,522,424
3093,"Lenexa city, Kansas",1600000US2039350,48190,47089,50412
3094,"Leoti city, Kansas",1600000US2039550,1534,1548,1502
3095,"McDonald city, Kansas",1600000US2043750,160,152,163
3096,"Richmond city, Kansas",1600000US2059675,464,513,540
3097,"St. Gabriel city, Louisiana",1600000US2267250,6677,6508,6872
3098,"Lafourche Crossing CDP, Louisiana",1600000US2240878,2002,2084,2035
3099,"Lakeshore CDP, Louisiana",1600000US2241470,1930,1729,1717
3100,"Lawtell CDP, Louisiana",1600000US2242520,1198,1047,1744
3101,"Lemannville CDP, Louisiana",1600000US2243255,860,1409,795
3102,"Lockport Heights CDP, Louisiana",1600000US2244970,1286,859,1386
3103,"Longville CDP, Louisiana",1600000US2245530,635,651,663
3104,"Milton CDP, Louisiana",1600000US2250815,3030,2658,2854
3105,"Lakeview CDP, Louisiana",1600000US2241645,948,1117,1072
3106,"Minorca CDP, Louisiana",1600000US2250990,2317,2274,1942
3107,"Monterey CDP, Louisiana",1600000US2251585,439,462,693
3108,"Moonshine CDP, Louisiana",1600000US2251800,194,303,130
3109,"Oretta CDP, Louisiana",1600000US2258150,418,585,542
3110,"Ossun CDP, Louisiana",1600000US2258360,2144,2067,2528
3111,"Paulina CDP, Louisiana",1600000US2259375,1178,1189,1149
3112,"Pitkin CDP, Louisiana",1600000US2260600,576,571,493
3113,"Pleasure Bend CDP, Louisiana",1600000US2261160,250,171,376
3114,"Pointe a la Hache CDP, Louisiana",1600000US2261440,187,0,188
