H010001,NAME,state,county
37108,"Covington County, Alabama",01,039
42116,"La Plata County, Colorado",08,067
33232,"Ware County, Georgia",13,299
4362,"Adams County, Iowa",19,003
45714,"Hopkins County, Kentucky",21,107
61426,"St. Joseph County, Michigan",26,149
12860,"Osage County, Missouri",29,151
61070,"Otero County, New Mexico",35,035
89848,"Geauga County, Ohio",39,055
51808,"Cherokee County, South Carolina",45,021
5212,"Delta County, Texas",48,119
6926,"Charles City County, Virginia",51,036
80558,"Ozaukee County, Wisconsin",55,089
76485,"Cullman County, Alabama",01,043
14816,"Las Animas County, Colorado",08,071
19724,"Washington County, Georgia",13,303
13502,"Appanoose County, Iowa",19,007
680809,"Jefferson County, Kentucky",21,111
204439,"Saginaw County, Michigan",26,145
19769,"Pemiscot County, Missouri",29,155
40725,"Rio Arriba County, New Mexico",35,039
40285,"Guernsey County, Ohio",39,059
42109,"Chesterfield County, South Carolina",45,025
18229,"DeWitt County, Texas",48,123
255664,"Chesterfield County, Virginia",51,041
34456,"Pierce County, Wisconsin",55,093
141618,"Shelby County, Alabama",01,117
205107,"Alachua County, Florida",12,001
14982,"Gem County, Idaho",16,045
11899,"Hancock County, Iowa",19,081
22576,"Ohio County, Kentucky",21,183
19343,"Houston County, Minnesota",27,055
337557,"St. Louis city, Missouri",29,510
57579,"Livingston County, New York",36,051
144509,"Portage County, Ohio",39,133
6263,"Bon Homme County, South Dakota",46,009
4657,"Hardeman County, Texas",48,197
30811,"Mecklenburg County, Virginia",51,117
64973,"Natrona County, Wyoming",56,025
47464,"Dale County, Alabama",01,045
5031,"Lincoln County, Colorado",08,073
24417,"Wayne County, Georgia",13,305
6650,"Audubon County, Iowa",19,009
37245,"Jessamine County, Kentucky",21,113
162558,"St. Clair County, Michigan",26,147
17753,"Perry County, Missouri",29,157
17253,"Roosevelt County, New Mexico",35,041
826329,"Hamilton County, Ohio",39,061
30976,"Clarendon County, South Carolina",45,027
2243,"Dickens County, Texas",48,125
12340,"Clarke County, Virginia",51,043
40734,"Polk County, Wisconsin",55,095
45826,"Dallas County, Alabama",01,047
18516,"Logan County, Colorado",08,075
2388,"Webster County, Georgia",13,307
24997,"Benton County, Iowa",19,011
22929,"Johnson County, Kentucky",21,115
43791,"Sanilac County, Michigan",26,151
38716,"Pettis County, Missouri",29,159
89213,"Sandoval County, New Mexico",35,043
69567,"Hancock County, Ohio",39,063
37931,"Colleton County, South Carolina",45,029
10126,"Dimmit County, Texas",48,127
5049,"Craig County, Virginia",51,045
63641,"Portage County, Wisconsin",55,097
53347,"Jackson County, Alabama",01,071
14183,"Prowers County, Colorado",08,099
126693,"Maui County, Hawaii",15,009
12655,"Cherokee County, Iowa",19,035
9667,"Livingston County, Kentucky",21,139
33457,"Benton County, Minnesota",27,009
280095,"St. Charles County, Missouri",29,183
1285415,"Bronx County, New York",36,005
61701,"Lawrence County, Ohio",39,087
194124,"Horry County, South Carolina",45,051
4268,"Fisher County, Texas",48,151
16562,"Giles County, Virginia",51,071
26374,"Trempealeau County, Wisconsin",55,121
645934,"Jefferson County, Alabama",01,073
137337,"Pueblo County, Colorado",08,101
293786,"Ada County, Idaho",16,001
12870,"Chickasaw County, Iowa",19,037
26258,"Logan County, Kentucky",21,141
5647,"Big Stone County, Minnesota",27,011
9470,"St. Clair County, Missouri",29,185
191421,"Broome County, New York",36,007
142236,"Licking County, Ohio",39,089
19331,"Jasper County, South Carolina",45,053
7630,"Floyd County, Texas",48,153
34446,"Gloucester County, Virginia",51,073
27583,"Vernon County, Wisconsin",55,123
15705,"Lamar County, Alabama",01,075
5754,"Rio Blanco County, Colorado",08,103
3438,"Adams County, Idaho",16,003
8977,"Clarke County, Iowa",19,039
6537,"Lyon County, Kentucky",21,143
51825,"Blue Earth County, Minnesota",27,013
17488,"Ste. Genevieve County, Missouri",29,186
80719,"Cattaraugus County, New York",36,009
45420,"Logan County, Ohio",39,091
59367,"Lancaster County, South Carolina",45,057
1580,"Foard County, Texas",48,155
15475,"Goochland County, Virginia",51,075
20745,"Vilas County, Wisconsin",55,125
34572,"Lawrence County, Alabama",01,079
19433,"Routt County, Colorado",08,107
6355,"Bear Lake County, Idaho",16,007
18197,"Clayton County, Iowa",19,043
16651,"McCreary County, Kentucky",21,147
30199,"Carlton County, Minnesota",27,017
997029,"St. Louis County, Missouri",29,189
133363,"Chautauqua County, New York",36,013
446158,"Lucas County, Ohio",39,095
18433,"Lee County, South Carolina",45,061
9295,"Franklin County, Texas",48,159
15097,"Greene County, Virginia",51,079
15797,"Washburn County, Wisconsin",55,129
63588,"DeKalb County, Alabama",01,049
112971,"Mesa County, Colorado",08,077
5099,"Wheeler County, Georgia",13,309
121535,"Black Hawk County, Iowa",19,013
149598,"Kenton County, Kentucky",21,117
8522,"Schoolcraft County, Michigan",26,153
37393,"Phelps County, Missouri",29,161
112587,"San Juan County, New Mexico",35,045
30030,"Hardin County, Ohio",39,065
66163,"Darlington County, South Carolina",45,031
3625,"Donley County, Texas",48,129
32547,"Culpeper County, Virginia",51,047
15549,"Price County, Wisconsin",55,099
60533,"Elmore County, Alabama",01,051
830,"Mineral County, Colorado",08,079
19429,"White County, Georgia",13,311
25264,"Boone County, Iowa",19,015
17076,"Knott County, Kentucky",21,119
70966,"Shiawassee County, Michigan",26,155
16098,"Pike County, Missouri",29,163
28735,"San Miguel County, New Mexico",35,047
15585,"Harrison County, Ohio",39,067
30295,"Dillon County, South Carolina",45,033
12536,"Duval County, Texas",48,131
8981,"Cumberland County, Virginia",51,049
183360,"Racine County, Wisconsin",55,101
35435,"Escambia County, Alabama",01,053
12873,"Moffat County, Colorado",08,081
82757,"Whitfield County, Georgia",13,313
21865,"Bremer County, Iowa",19,017
31150,"Knox County, Kentucky",21,121
56805,"Tuscola County, Michigan",26,157
72937,"Platte County, Missouri",29,165
126916,"Santa Fe County, New Mexico",35,049
28631,"Henry County, Ohio",39,069
94324,"Dorchester County, South Carolina",45,035
17510,"Eastland County, Texas",48,133
16258,"Dickenson County, Virginia",51,051
17622,"Richland County, Wisconsin",55,103
86259,"Lauderdale County, Alabama",01,077
12162,"Rio Grande County, Colorado",08,105
73280,"Bannock County, Idaho",16,005
17079,"Clay County, Iowa",19,041
64180,"McCracken County, Kentucky",21,145
25750,"Brown County, Minnesota",27,015
51662,"St. Francois County, Missouri",29,187
77162,"Cayuga County, New York",36,011
276180,"Lorain County, Ohio",39,093
66939,"Laurens County, South Carolina",45,059
348154,"Fort Bend County, Texas",48,157
16754,"Grayson County, Virginia",51,077
88610,"Walworth County, Wisconsin",55,127
